Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Interested_count,View_count,Description,Condition,Upload_date,SellerId,SellerName,Stars,Location,ReviewsCount
Nieuwe sneakers maat 41,53.2,Nike,41.0,https://www.vinted.it/items/6527483981-nieuwe-sneakers-maat-41?referrer=catalog,0,6527483981,On Sale,16/06/2025 22:10:04,[],1,1,,,,Nuovo senza cartellino,Proprio adesso, ,sabrinadeboer,4.7,,584
Melvin et Hamilton 38,89.95,Melvin & Hamilton,38.0,https://www.vinted.it/items/6527483658-melvin-et-hamilton-38?referrer=catalog,0,6527483658,On Sale,16/06/2025 22:10:04,[],1,1,,,,Nuovo senza cartellino,Proprio adesso, ,nanou9996,4.8,,3653
Tacones,11.2,Local,35.0,https://www.vinted.it/items/6527483704-tacones?referrer=catalog,0,6527483704,On Sale,16/06/2025 22:10:04,[],1,1,,,,Nuovo senza cartellino,Proprio adesso, ,fernandezadr,5.0,,6
Escarpins cuir daim noir 39 André neufs,15.4,André,39.0,https://www.vinted.it/items/6527484051-escarpins-cuir-daim-noir-39-andre-neufs?referrer=catalog,0,6527484051,On Sale,16/06/2025 22:10:04,[],1,1,,,,Nuovo senza cartellino,Proprio adesso, ,carogini1971,4.9,,321
Enkellaars met hak,5.95,Graceland,39.0,https://www.vinted.it/items/6527483968-enkellaars-met-hak?referrer=catalog,0,6527483968,On Sale,16/06/2025 22:10:04,[],1,1,,,,Nuovo senza cartellino,Proprio adesso, ,anieke1993,-1.0,,0
Miharas,95.2,Mihara Yasuhiro,45.0,https://www.vinted.it/items/6527483630-miharas?referrer=catalog,0,6527483630,On Sale,16/06/2025 22:10:04,[],1,1,,,,Nuovo senza cartellino,Proprio adesso, ,juniorbello,2.3,,6
Claquette noire,16.45,Etam,36.5,https://www.vinted.it/items/6527517822-claquette-noire?referrer=catalog,0,6527517822,On Sale,16/06/2025 22:16:20,[],1,1,,,,Nuovo senza cartellino,Proprio adesso,,hasnaabercham,4.8,,45
Chaussure à talon ouvertes,11.2,Babaroni,37.0,https://www.vinted.it/items/6527519316-chaussure-a-talon-ouvertes?referrer=catalog,0,6527519316,On Sale,16/06/2025 22:16:20,[],1,1,,,,Nuovo senza cartellino,Proprio adesso,,nel0831,5.0,,11
Havaianas,26.95,Havaianas,37.5,https://www.vinted.it/items/6527518128-havaianas?referrer=catalog,0,6527518128,On Sale,16/06/2025 22:16:20,[],1,1,,,,Nuovo senza cartellino,Proprio adesso,,enzomo.91,4.9,,39
Adidas spezial handball,83.65,adidas,37.0,https://www.vinted.it/items/6527518425-adidas-spezial-handball?referrer=catalog,0,6527518425,On Sale,16/06/2025 22:16:20,[],1,1,,,,Nuovo senza cartellino,Proprio adesso,,imdidicloset,4.8,,799
