SellerId,SellerName,Location,ReviewsCount,Stars
1,carb0nar4,,1,5.0
2,joana.f16,,67,4.9
3,angelinapas,,4,5.0
4,barabeli39,,390,5.0
5,emma.terzoli,,21,5.0
6,apollinerobert,,48,5.0
7,belindalinda,,136,5.0
8,luciabernete,,241,4.7
9,agathelaforge,,53,4.8
10,resellergs,,38,4.9
11,manina89,,29,4.6
12,fosterki,,0,-1.0
13,gouldjuniorlh3225,,0,-1.0
14,lolomorgane,,132,4.8
15,jamal38029,,86,5.0
16,yasmina76nk,,10,4.5
17,yulia0207,,2,5.0
18,chardonnay196955,Not found,74,4.7
19,patsanx,Not found,24,5.0
20,romane_nc00,Not found,65,5.0
21,manon270218,Not found,2011,4.9
22,eduarda.26,Not found,72,4.9
23,scarlettmoreno,Not found,20,5.0
24,msr_00,Spagna,15,5
25,marialeite000,"Lourosa, Portogallo",0,-1
26,annighean,Francia,319,4.7
27,matelo76600,"Montivilliers, Francia",1250,4.9
28,avjlt56,"Vannes, Francia",486,4.9
29,lydia19993,"Braunschweig, Germania",19,5
