Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Gucci Sonnenbrille,95.2,Gucci,0,https://www.vinted.it/items/8275974902-gucci-sonnenbrille?referrer=catalog,53,8275974902,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/06_0221b_Tyrqexfatr2FxTXe3SCS1yq6/310x430/1772226954.webp?s=fbd2277c4816103a266fa2bdbc0a0222548e5de1,1,1
Miniature Gucci Envy 3ml,11.2,Gucci,0,https://www.vinted.it/items/8275972791-miniature-gucci-envy-3ml?referrer=catalog,2,8275972791,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/03_01ccd_tQqEnd11SGTYfaN69DroYP3d/310x430/1772226929.webp?s=bb2f3a4ddf992dcc4999e36acf530053f2e914bd,1,1
Miniature Gucci Envy 3ml,11.2,Gucci,0,https://www.vinted.it/items/8275972791-miniature-gucci-envy-3ml?referrer=catalog,2,8275972791,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/03_01ccd_tQqEnd11SGTYfaN69DroYP3d/310x430/1772226929.webp?s=bb2f3a4ddf992dcc4999e36acf530053f2e914bd,1,1
Profumo gucci guilty,47.95,Gucci,0,https://www.vinted.it/items/8275294875-profumo-gucci-guilty?referrer=catalog,1,8275294875,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/05_01f6f_uofZXcdJ4S773p3uCjULXPtS/310x430/1772220324.webp?s=c2d4dde9b197567f00b38493bc2dfc7d14cec848,1,2
Gucci Sonnenbrille,95.2,Gucci,0,https://www.vinted.it/items/8275974902-gucci-sonnenbrille?referrer=catalog,53,8275974902,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/06_0221b_Tyrqexfatr2FxTXe3SCS1yq6/310x430/1772226954.webp?s=fbd2277c4816103a266fa2bdbc0a0222548e5de1,1,1
Gucci Vintage 90s Heels Pumps Black Limited Edition Size 36,42.7,Gucci,36.5,https://www.vinted.it/items/8275773448-gucci-vintage-90s-heels-pumps-black-limited-edition-size-365?referrer=catalog,4,8275773448,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/01_02140_4oxrVJyinasUw51uiFqnheDF/310x430/1772224798.webp?s=f331775d5dc7a3d238754e574fda541b035fff14,1,1
Guantes originales de Gucci 100% de cuero !Nuevos!,189.7,Gucci,5,https://www.vinted.it/items/8275199198-guantes-originales-de-gucci-100-de-cuero-nuevos?referrer=catalog,4,8275199198,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/01_0181b_hMqdikh2sAm2ftkQFXKKyS5V/310x430/1772219473.webp?s=2d8ef6cc5f4057e2d48ba95b778c9148f7a7b245,1,2
Gucci Guilty 90ml,42.7,Gucci,0,https://www.vinted.it/items/8275700374-gucci-guilty-90ml?referrer=catalog,0,8275700374,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/05_01171_i5N7hmJmqPcodB4xqm7UsZ6Y/310x430/1772224067.webp?s=135c344cfae78e77cb3d2bf613135adb6afa47a8,1,1
Occhiali da sole nuovi Gucci,53.2,Gucci,0,https://www.vinted.it/items/8247593077-occhiali-da-sole-nuovi-gucci?referrer=catalog,0,8247593077,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/05_01c2d_tfy1cigMbSmWV57sjaHdkoDY/310x430/1771878976.webp?s=653ffc60a2bcb43d0c7b3e0cdd622314ecfc73e1,1,1
Sandales Gucci - taille 37 - Rose - Neuf,210.7,Gucci,37,https://www.vinted.it/items/8274615755-sandales-gucci-taille-37-rose-neuf?referrer=catalog,4,8274615755,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/06_009b5_DHhTnu5kx2rGoA78SqCiiDYe/310x430/1772214541.webp?s=68dec16e7268774e6b92abe07e73e129e0bee83c,1,2
Gürtel von gucci,131.95,Gucci,110 cm,https://www.vinted.it/items/8246087464-gurtel-von-gucci?referrer=catalog,3,8246087464,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/04_0187e_ar5nWo5aSCbiTp8DgNHHa7NN/310x430/1771867942.webp?s=b63db411eeee2c45dd20c3b9d2720e893a905d0b,1,2
Busta della Gucci,5.95,Gucci,0,https://www.vinted.it/items/8274280648-busta-della-gucci?referrer=catalog,3,8274280648,Sold,27/02/2026 23:38:17,,https://images1.vinted.net/t/01_01e92_mj5ogM52kTfwR63fWMckMyKR/310x430/1772211987.webp?s=11958e46d9c71372c0b42a64679c4b93c86409a4,1,3
Profumo gucci guilty,47.95,Gucci,0,https://www.vinted.it/items/8275294875-profumo-gucci-guilty?referrer=catalog,1,8275294875,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/05_01f6f_uofZXcdJ4S773p3uCjULXPtS/310x430/1772220324.webp?s=c2d4dde9b197567f00b38493bc2dfc7d14cec848,1,2
