Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Profumo Red Tobacco nuovo originale,116.2,Mancera,0,https://www.vinted.it/items/6927917844-profumo-red-tobacco-nuovo-originale?referrer=catalog,0,6927917844,On Sale,,,https://images1.vinted.net/t/03_01f66_NEtpzPNcHKkHb1nP1QZMJvoq/310x430/1755987904.jpeg?s=de18d4183295c170b5524eaf73b091b4a443fa0a,1,1
Mancera Black Noire eau de parfum,84.7,Mancera,0,https://www.vinted.it/items/6926629793-mancera-black-noire-eau-de-parfum?referrer=catalog,0,6926629793,On Sale,,,https://images1.vinted.net/t/03_022dd_28aVuUp7DpiqjTpaKkEsrVE2/310x430/1755970464.jpeg?s=2ed404062bf205de457a42819e68e953ca80de30,1,1
Mancera Paris Instant Crush 120 ml,126.7,Mancera,0,https://www.vinted.it/items/6925452615-mancera-paris-instant-crush-120-ml?referrer=catalog,0,6925452615,On Sale,,,https://images1.vinted.net/t/01_0133a_rfBiBXyHGdccb7r9sfrPPBos/310x430/1755961899.jpeg?s=3f867e2220d893217b13ef2d178dadceac982100,1,1
Mancera Wild Python 120ml – Sigillato,105.7,Mancera,0,https://www.vinted.it/items/6924950824-mancera-wild-python-120ml-sigillato?referrer=catalog,0,6924950824,On Sale,,,https://images1.vinted.net/t/01_002f6_StB7URXkjB1ttLForymyVjHn/310x430/1755958600.jpeg?s=b632007b32fb1ad5b39977a9adbf53c87561310a,1,1
Mancera Red Tobacco Eau de Parfum 120ml,95.2,Mancera,0,https://www.vinted.it/items/6924743584-mancera-red-tobacco-eau-de-parfum-120ml?referrer=catalog,0,6924743584,On Sale,,,https://images1.vinted.net/t/04_00cd6_Vz6jD2htRoQtT7RvdQK7k6Lf/310x430/1755957263.jpeg?s=68c523b0b16e0564105d96d73892ecc0020d56a7,1,1
Mancera instant Crush -120ml,74.2,Mancera,0,https://www.vinted.it/items/6920803314-mancera-instant-crush-120ml?referrer=catalog,5,6920803314,On Sale,,,https://images1.vinted.net/t/04_00b9f_CoHg61WNRXNZd4dmfYw9TTxx/310x430/1755893202.jpeg?s=dbe4e69e8927b3c827783a2386b194b0bf2d80b1,1,1
Profumo Red Tobacco,84.7,Mancera,0,https://www.vinted.it/items/6917465181-profumo-red-tobacco?referrer=catalog,0,6917465181,On Sale,,,https://images1.vinted.net/t/01_007df_tZDgFBavPL3cHwch2KmFBFr8/310x430/1755865614.jpeg?s=b22e2a9730476605e5d2e1e322b8e31993a8587d,1,1
Profumo Wild Phyton,84.7,Mancera,0,https://www.vinted.it/items/6917447492-profumo-wild-phyton?referrer=catalog,1,6917447492,On Sale,,,https://images1.vinted.net/t/03_0055d_XTCDpd1r2wmGwf6x1srFimet/310x430/1755865480.jpeg?s=fb3a0e16220e6bc1ac5c223ca8f4990da7ea2f6e,1,1
Profumo Mancera Intense Red Tobacco 120ml EDP,116.19,Mancera,0,https://www.vinted.it/items/6916368708-profumo-mancera-intense-red-tobacco-120ml-edp?referrer=catalog,2,6916368708,On Sale,,,https://images1.vinted.net/t/04_02256_bFxvL4BS7CZbsLHGgwE6JyU1/310x430/1755857198.jpeg?s=4169ce8c9c630221fb756e3accc2af28a33b0421,1,1
Mancera cedrat Boise 120ml,58.45,Mancera,0,https://www.vinted.it/items/6914426285-mancera-cedrat-boise-120ml?referrer=catalog,7,6914426285,On Sale,,,https://images1.vinted.net/t/04_00611_2mjSPPjimmPps8XXgSFGqYaw/310x430/1755805043.jpeg?s=4eefabfb4b4acb5d6d89abdeda4a8b62710493c9,1,1
Mancera Red tabacco 120ml edp,53.2,Mancera,0,https://www.vinted.it/items/6912450051-mancera-red-tabacco-120ml-edp?referrer=catalog,2,6912450051,On Sale,,,https://images1.vinted.net/t/04_0035f_JcKoGfiw89RNQCSeQ8YeF98h/310x430/1755789173.jpeg?s=b18b33301c0d0a2d81a875e54fd05adbb1c142b4,1,1
Mancera cedrat Boise eau de parfume,63.7,Mancera,0,https://www.vinted.it/items/6908063916-mancera-cedrat-boise-eau-de-parfume?referrer=catalog,3,6908063916,On Sale,,,https://images1.vinted.net/t/01_006b2_Dz1kR8e7FrE3ukptaG7hUEUX/310x430/1755721393.jpeg?s=3f40efbfa002cd09b9fcae2aef010e7d71daa545,1,1
Profumo unisex 125 ml,105.7,Mancera,0,https://www.vinted.it/items/6906836799-profumo-unisex-125-ml?referrer=catalog,0,6906836799,On Sale,,,https://images1.vinted.net/t/04_001c4_LUKfcmjiq1BopedC2EPeMXT6/310x430/1755710268.jpeg?s=6a7f800e86f5ca03cf9f2596df2ebf2999d1800b,1,1
Roses greedy Mancera,95.2,Mancera,0,https://www.vinted.it/items/6905489343-roses-greedy-mancera?referrer=catalog,0,6905489343,On Sale,,,https://images1.vinted.net/t/03_0063a_DrYFiFUUz1wonn4SmP2LvM6J/310x430/1755700992.jpeg?s=5f38ae42ae90725637b9e9abecadac1191de152e,1,1
Mancera red tobacco intense 120ml,142.45,Mancera,0,https://www.vinted.it/items/6903114788-mancera-red-tobacco-intense-120ml?referrer=catalog,1,6903114788,On Sale,,,https://images1.vinted.net/t/02_01bbc_w82TmKp36CEUX6fgfUdAoQxo/310x430/1755684194.jpeg?s=f3aed55768f91b8224a5b5bec2cd42c497dd4166,1,1
Profumo Mancera Paris Red Tobacco 120 ml,89.95,Mancera,0,https://www.vinted.it/items/6901557169-profumo-mancera-paris-red-tobacco-120-ml?referrer=catalog,0,6901557169,On Sale,,,https://images1.vinted.net/t/01_00bff_G7UGtBZMWwkWcWMpkS55dzNB/310x430/1755639377.jpeg?s=a3923e6c245c2fe0a5e99d804b429399393afd64,1,1
Profumo unisex Mancera Cedrat Boise,110.95,Mancera,0,https://www.vinted.it/items/6890457952-profumo-unisex-mancera-cedrat-boise?referrer=catalog,0,6890457952,On Sale,,,https://images1.vinted.net/t/03_01f92_RGZJdaKQPnBjtQwxnw7EUKHZ/310x430/1755514872.jpeg?s=00bcc6360939104f16aa322034bf719086c5c7ec,1,1
Mancera instant crush neuf 120ml eau de parfum,79.45,Mancera,0,https://www.vinted.it/items/6887389936-mancera-instant-crush-neuf-120ml-eau-de-parfum?referrer=catalog,15,6887389936,On Sale,,,https://images1.vinted.net/t/01_0253a_bEuaJV4tuxRJ1E7be8qZabjY/310x430/1755453114.jpeg?s=6076560464696cff29472f02ac3d2f8209e01df3,1,1
Instant Crush Mancera,74.2,Mancera,0,https://www.vinted.it/items/6884996470-instant-crush-mancera?referrer=catalog,6,6884996470,On Sale,,,https://images1.vinted.net/t/01_017bf_KGPa4Jq1ooN1ZU8yDc676ZqQ/310x430/1755437678.jpeg?s=7ca8a728f009662ab16fc0e247393b012b2dca24,1,1
Instant crush 120ml -Mancera,95.2,Mancera,0,https://www.vinted.it/items/6884618999-instant-crush-120ml-mancera?referrer=catalog,3,6884618999,On Sale,,,https://images1.vinted.net/t/04_0256d_K9QYJNf8eiM8LGsdDHpxych4/310x430/1755435294.jpeg?s=3684e8f3ef5b1cdf69fb45878fc744c5074124ca,1,1
Mancera Red Tobacco – 120 ml – Neu & Versiegelt,104.65,Mancera,0,https://www.vinted.it/items/6883616236-mancera-red-tobacco-120-ml-neu-versiegelt?referrer=catalog,0,6883616236,On Sale,,,https://images1.vinted.net/t/02_01185_2683HpLrfqBASSrm9Uv4db6G/310x430/1755428577.jpeg?s=0195a5ed48b5df09e283cdd136c94b361418ee9a,1,1
Mancera instant Crush,84.7,Mancera,0,https://www.vinted.it/items/6877278110-mancera-instant-crush?referrer=catalog,2,6877278110,On Sale,,,https://images1.vinted.net/t/04_00426_iuHA7N4oLvbAZLXJViVki84Z/310x430/1755346345.jpeg?s=363630de635d936723d00b08aab3524fe22b2e84,1,1
Mancera Cedrat Boise Intense 120ml Originale!,126.7,Mancera,0,https://www.vinted.it/items/6876710546-mancera-cedrat-boise-intense-120ml-originale?referrer=catalog,12,6876710546,On Sale,,,https://images1.vinted.net/t/02_004fe_6U2cGvdqvW4ejie9pnVYb7eR/310x430/1755332023.jpeg?s=83c246d421019a413e400c564b4299ec4f1abdeb,1,1
Mancera Paris - Juicy Flowers EDP 60 ml,84.7,Mancera,0,https://www.vinted.it/items/6875351885-mancera-paris-juicy-flowers-edp-60-ml?referrer=catalog,3,6875351885,On Sale,,,https://images1.vinted.net/t/04_0243c_Aqsy5PV3aVtt2LnvFGVmSq97/310x430/1755282245.jpeg?s=3270f06d70c3bc9e9d31f3ec5fa312d49f7dd2b1,1,1
Mancera Cedrat Boise,95.2,Mancera,0,https://www.vinted.it/items/6871828119-mancera-cedrat-boise?referrer=catalog,3,6871828119,On Sale,,,https://images1.vinted.net/t/02_0029a_bw7LwoLm58Fin8utTTzgr4MS/310x430/1755247820.jpeg?s=86365ffdaec65f36ca032894a102fa04e90d85a3,1,1
Mancera Red Tobacco _ profumo unisex da 120ML,119.35,Mancera,0,https://www.vinted.it/items/6864489081-mancera-red-tobacco-profumo-unisex-da-120ml?referrer=catalog,3,6864489081,On Sale,,,https://images1.vinted.net/t/01_022d5_3YNXad1thTCs3J4xBwBZViN8/310x430/1755104393.jpeg?s=7e581f56f128f7c1f18d077974cff9af85a7261c,1,1
