Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
JBL Charge 5 - Comme neuve,131.95,JBL,0.0,https://www.vinted.it/items/6926952821-jbl-charge-5-comme-neuve?referrer=catalog,2.0,6926952821.0,On Sale,,,https://images1.vinted.net/t/04_00baf_w7FtcDbxH9AF3TErg9p36KQb/310x430/1755973379.jpeg?s=36b75abdcc9933b0355aec0b121f5792dcb3dcd2,1.0,1.0
Enceinte JBL charge 5,84.7,JBL,0.0,https://www.vinted.it/items/6926315568-enceinte-jbl-charge-5?referrer=catalog,10.0,6926315568.0,On Sale,,,https://images1.vinted.net/t/01_004e0_adg8CBsRbCd1pcYPW4JKHmjy/310x430/1755967959.jpeg?s=a7c8889e01485f76760d1eba8f94260ec54d306f,1.0,1.0
JBL Xtreme 3 NEUF enceinte bluetooth (jamais ouvert,242.2,JBL,0.0,https://www.vinted.it/items/6923316765-jbl-xtreme-3-neuf-enceinte-bluetooth-jamais-ouvert?referrer=catalog,3.0,6923316765.0,On Sale,,,https://images1.vinted.net/t/03_00795_DjL1op1s43fTg7Z2MZSaKkpg/310x430/1755947576.jpeg?s=58d4762ac8500fbb488b1807133232ae71039a55,1.0,1.0
Enceinte JBL pulse 5,158.2,JBL,0.0,https://www.vinted.it/items/6923054192-enceinte-jbl-pulse-5?referrer=catalog,2.0,6923054192.0,On Sale,,,https://images1.vinted.net/t/04_025ac_UAPQ9QkDg5QTMnf4MvpuePGn/310x430/1755945677.jpeg?s=33222ff4a5c0ece7da80e1adab207f6254c21f3b,1.0,1.0
Jbl box charge 5,84.7,JBL,0.0,https://www.vinted.it/items/6922862010-jbl-box-charge-5?referrer=catalog,17.0,6922862010.0,On Sale,,,https://images1.vinted.net/t/02_01431_GGyqwTXdwwj33cKVfYHAPDH1/310x430/1755944286.jpeg?s=08a874976e5ad3c268ad2569ac98fca8b7ddb87d,1.0,1.0
JBL charge 6 blk New,146.65,JBL,0.0,https://www.vinted.it/items/6922334859-jbl-charge-6-blk-new?referrer=catalog,2.0,6922334859.0,On Sale,,,https://images1.vinted.net/t/04_00d67_s2CHuy76zUsDx83ZCqNuSNEH/310x430/1755940418.jpeg?s=e080560decdd4e2cec7827931188e2630c12b2e4,1.0,1.0
JBL Clip 4 Enceinte Bluetooth NEUVE scellée,42.7,JBL,0.0,https://www.vinted.it/items/6919183804-jbl-clip-4-enceinte-bluetooth-neuve-scellee?referrer=catalog,1.0,6919183804.0,On Sale,,,https://images1.vinted.net/t/04_01057_FbPGeBuajkv2y5d41PgqyWnf/310x430/1755878087.jpeg?s=6f35a31c5235a7f3963201d6c07a066105d0bc95,1.0,1.0
JBL Flip 7 Bluetooth Speaker – Draagbaar & Waterdicht – Topgeluid,105.7,JBL,0.0,https://www.vinted.it/items/6918989294-jbl-flip-7-bluetooth-speaker-draagbaar-waterdicht-topgeluid?referrer=catalog,2.0,6918989294.0,On Sale,,,https://images1.vinted.net/t/04_01b1e_fP1CKm2urSXeXbRibscb9Ush/310x430/1755876645.jpeg?s=a1416bdb01c70929cd7458d713f360ea9dfc62b5,1.0,1.0
Enceinte JBL Flip 6 – Bluetooth – Étanche – 12h autonomie – Neuve,58.44,JBL,0.0,https://www.vinted.it/items/6918109471-enceinte-jbl-flip-6-bluetooth-etanche-12h-autonomie-neuve?referrer=catalog,15.0,6918109471.0,On Sale,,,https://images1.vinted.net/t/03_008f3_hD7up6xPQBoVVbVhGQ4Rrmne/310x430/1755870276.jpeg?s=2ea847f1914bac9fb0ceda37069780cf43735593,1.0,1.0
JBL Xtreme 3 – Cassa Bluetooth portatile nera,137.2,JBL,0.0,https://www.vinted.it/items/6914328302-jbl-xtreme-3-cassa-bluetooth-portatile-nera-potente-e-impermeabile?referrer=catalog,5.0,6914328302.0,On Sale,,,https://images1.vinted.net/t/04_01701_xp9azjRd3KY8Wz87meeVkckU/310x430/1755804046.jpeg?s=90b0316ecd3a0ae95ad61f94b89d9c15f9ccf559,1.0,1.0
JBL charge 5,126.7,JBL,0.0,https://www.vinted.it/items/6913635600-jbl-charge-5?referrer=catalog,16.0,6913635600.0,On Sale,,,https://images1.vinted.net/t/03_01d50_ZPa9HdLczPczVoFs8fZgi6Rs/310x430/1755797862.jpeg?s=7cdcc3343f6fa915bff584f1f03872e51a0265a9,1.0,1.0
