Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
JBL Charge 5 - Comme neuve,131.95,JBL,0.0,https://www.vinted.it/items/6926952821-jbl-charge-5-comme-neuve?referrer=catalog,2.0,6926952821.0,On Sale,,,https://images1.vinted.net/t/04_00baf_w7FtcDbxH9AF3TErg9p36KQb/310x430/1755973379.jpeg?s=36b75abdcc9933b0355aec0b121f5792dcb3dcd2,1.0,1.0
Enceinte JBL charge 5,84.7,JBL,0.0,https://www.vinted.it/items/6926315568-enceinte-jbl-charge-5?referrer=catalog,10.0,6926315568.0,On Sale,,,https://images1.vinted.net/t/01_004e0_adg8CBsRbCd1pcYPW4JKHmjy/310x430/1755967959.jpeg?s=a7c8889e01485f76760d1eba8f94260ec54d306f,1.0,1.0
JBL charge 5,126.7,JBL,0.0,https://www.vinted.it/items/6913635600-jbl-charge-5?referrer=catalog,16.0,6913635600.0,On Sale,,,https://images1.vinted.net/t/03_01d50_ZPa9HdLczPczVoFs8fZgi6Rs/310x430/1755797862.jpeg?s=7cdcc3343f6fa915bff584f1f03872e51a0265a9,1.0,1.0
Jbl charge 5,105.7,JBL,0.0,https://www.vinted.it/items/6912183305-jbl-charge-5?referrer=catalog,9.0,6912183305.0,On Sale,,,https://images1.vinted.net/t/04_026c1_qRM1keD5n4v7WFdpMb1xr5c9/310x430/1755787327.jpeg?s=0b4b47fee2be47988dcbb87560f3dcecc6a19822,1.0,1.0
Casque JBL Tune 770 NC,79.45,JBL,0.0,https://www.vinted.it/items/6907270636-casque-jbl-tune-770-nc?referrer=catalog,2.0,6907270636.0,On Sale,,,https://images1.vinted.net/t/02_02700_CAH4cucDrT2e6iD8u3PhaH6E/310x430/1755713727.jpeg?s=8c28dd80c42a0bdeade6094480d9c413b921da3b,1.0,1.0
Jbl charge 5,147.7,JBL,0.0,https://www.vinted.it/items/6907806768-jbl-charge-5?referrer=catalog,0.0,6907806768.0,On Sale,,,https://images1.vinted.net/t/03_01530_SpqKsQw7veBXvckKcfQ8ZXnH/310x430/1755718572.jpeg?s=8ddd07a5ffc3440afadb30f6b209f0bc52ffd9c8,1.0,1.0
JBL charge 5,126.7,JBL,0.0,https://www.vinted.it/items/6903521736-jbl-charge-5?referrer=catalog,12.0,6903521736.0,On Sale,,,https://images1.vinted.net/t/04_022ce_qUpPMwSEJAsfLQcLAD66joWz/310x430/1755687202.jpeg?s=cf1f69d32055becce6d03618c5cfe0a53286f8bf,1.0,1.0
JBL True Wireless Flash X Under Armour,53.2,JBL,0.0,https://www.vinted.it/items/6901461862-jbl-true-wireless-flash-x-under-armour?referrer=catalog,10.0,6901461862.0,On Sale,,,https://images1.vinted.net/t/04_0169d_1dCShswRYAAPSA6CDnyRtTMN/310x430/1755637597.jpeg?s=8103dd138559fc876db5253b9d39521de5878a5f,1.0,1.0
Jbl charge 5,179.2,JBL,0.0,https://www.vinted.it/items/6899346094-jbl-charge-5?referrer=catalog,0.0,6899346094.0,On Sale,,,https://images1.vinted.net/t/03_009f4_SFmWuQKZ7Xp9SswaoL7uztoH/310x430/1755618653.jpeg?s=4274fee1305198e2c12b08c269e5618ab6cd21d2,1.0,1.0
Jbl charge 5 WIFI by Harman neuve,158.2,JBL,0.0,https://www.vinted.it/items/6897619204-jbl-charge-5-wifi-by-harman-neuve?referrer=catalog,5.0,6897619204.0,On Sale,,,https://images1.vinted.net/t/01_01eff_Bb6ZFxjSVbXkguAc6i5PiggP/310x430/1755606181.jpeg?s=5ef7f8c752933b19348715057d631f74ac96b740,1.0,1.0
Lunettes connectées JBL – audio Bluetooth – neuves,89.95,JBL,0.0,https://www.vinted.it/items/6895863074-lunettes-connectees-jbl-audio-bluetooth-neuves?referrer=catalog,0.0,6895863074.0,On Sale,,,https://images1.vinted.net/t/01_0037c_ehwzVt4fHjq4JTdm3NeK2fiy/310x430/1755591224.jpeg?s=77deba25fca2223a5172bb9582f06e783c16ff9f,1.0,1.0
Jbl Charge 5 neu mit ovp mixery,105.7,JBL,0.0,https://www.vinted.it/items/6881630264-jbl-charge-5-neu-mit-ovp-mixery?referrer=catalog,3.0,6881630264.0,On Sale,,,https://images1.vinted.net/t/01_00725_eYUn8cQbVjNwbZnscihV7uBv/310x430/1755383263.jpeg?s=1c0d3c05727b2f6a3d162ef389301ca85c0ae36b,1.0,1.0
