Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Xerjoff 1861 Naxos | EDP | 100 ml,126.69,Xerjoff,0,https://www.vinted.it/items/6917076093-xerjoff-1861-naxos-edp-100-ml?referrer=catalog,2,6917076093,On Sale,,,https://images1.vinted.net/t/01_00796_WGbSY8H58ab99AzcGxD252Y1/310x430/1755862645.jpeg?s=ac0f7a1110b910a092be7050eb023a131ceb4315,1,1
Xerjoff XJ 1861 Naxos Eau de Parfum 100ml,273.7,Xerjoff,0,https://www.vinted.it/items/6918972261-xerjoff-xj-1861-naxos-eau-de-parfum-100ml?referrer=catalog,0,6918972261,On Sale,,,https://images1.vinted.net/t/01_00bd4_Ms5rLkCNq3sK74h9EoEfmo81/310x430/1755876519.jpeg?s=d79b5aca01b8ba04a8224d120ab4c43f53d00233,1,1
Naxos-Xerjoff,200.2,Xerjoff,0,https://www.vinted.it/items/6918922227-naxos-xerjoff?referrer=catalog,0,6918922227,On Sale,,,https://images1.vinted.net/t/02_014fb_vuhMHkQEDJnLtY1Mh2XkkR8F/310x430/1755876150.jpeg?s=58ebb2f97096db182b0a75400b3a6af208c64e5f,1,1
Xerjoff naxos parfüm,105.7,Xerjoff,0,https://www.vinted.it/items/6917314746-xerjoff-naxos-parfum?referrer=catalog,2,6917314746,On Sale,,,https://images1.vinted.net/t/02_023e9_D1dP95WHrSzW93KaDCxLmhqc/310x430/1755864468.jpeg?s=ea42b3861246c2f1863c463fe3b47313e40eaeb9,1,1
Naxos xerjoff 100ml,189.7,Xerjoff,0,https://www.vinted.it/items/6914799450-naxos-xerjoff-100ml?referrer=catalog,5,6914799450,On Sale,,,https://images1.vinted.net/t/04_004df_23AqYgnGtM2U5m7vymVkLrHf/310x430/1755809736.jpeg?s=10c40c02e6db909ec7af1212c285e7afd350f939,1,1
Profumo Naxos,84.7,Xerjoff,0,https://www.vinted.it/items/6896900374-profumo-naxos?referrer=catalog,3,6896900374,On Sale,,,https://images1.vinted.net/t/03_01b5b_aui5PotWcq92VV88whxYjvVe/310x430/1755600474.jpeg?s=e47ceac1b5b4308cc2160d9b224957149a0f42f8,1,1
Xerjoff naxos - 100ml - OVP,142.45,Xerjoff,0,https://www.vinted.it/items/6895257222-xerjoff-naxos-100ml-ovp?referrer=catalog,2,6895257222,On Sale,,,https://images1.vinted.net/t/01_01b23_NmxpSKjezbi5jSSdUpfSnw3B/310x430/1755561547.jpeg?s=e410280585294b17c515b9a443985dd2a6063db4,1,1
Xerjoff - Naxos 100ml,158.2,Xerjoff,0,https://www.vinted.it/items/6888400344-xerjoff-naxos-100ml?referrer=catalog,3,6888400344,On Sale,,,https://images1.vinted.net/t/03_005de_4KK8B2AEKe2EQL6QjL3R1XKt/310x430/1755462624.jpeg?s=67f6f823c1455f5f65d365c31396729958aee874,1,1
Xerjoff Naxos 100ml,158.2,Xerjoff,0,https://www.vinted.it/items/6869012302-xerjoff-naxos-100ml?referrer=catalog,20,6869012302,On Sale,,,https://images1.vinted.net/t/03_01b7a_oMhp5xEX3BLH4muC1T55XPVd/310x430/1755183764.jpeg?s=42a2df8fbda5a9c0918a32cb0b8e2652b2b7d8c5,1,1
Naxos 1861,126.7,Xerjoff,0,https://www.vinted.it/items/6859475552-naxos-1861?referrer=catalog,1,6859475552,On Sale,,,https://images1.vinted.net/t/03_00ab4_hWKgghS6MkxSRteTMK6waJuY/310x430/1755023287.jpeg?s=3d7ec69c99e75770f8a196b0dff2f452b0edab2b,1,1
