Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Top nero Miu Miu,126.7,Miu Miu,S / IT 40 / EU 36,https://www.vinted.it/items/6926002337-top-nero-miu-miu?referrer=catalog,0,6926002337,On Sale,,https://images1.vinted.net/t/04_01a75_cLM94XhhpiL7c92S6PgKAK4p/310x430/1755965650.jpeg?s=70afb5fc3b44dcd911263248dc6b74eae4eb61a0,1,1,
Top bianco in seta Miu Miu in perfette condizioni taglia 42,58.45,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6908628367-top-bianco-in-seta-miu-miu-in-perfette-condizioni-taglia-42?referrer=catalog,0,6908628367,On Sale,,https://images1.vinted.net/t/02_00f72_VwchTkxBw1nXoPXUCGej4u9y/310x430/1755751117.jpeg?s=f89eb34e56c3662c489529b5c23ed3964fdd6fb7,1,1,
Maglia Fendi,95.2,Fendi,S / IT 40 / EU 36,https://www.vinted.it/items/6925762357-maglia-fendi?referrer=catalog,0,6925762357,On Sale,,https://images1.vinted.net/t/02_00019_MTzEiv3mFQfosJQGvpgyZZFb/310x430/1755963985.jpeg?s=136d9d3b13df722b297e25785c5190659b9c9cfe,1,1,
Authentique Chemise Miu Miu 39 1/2 soit 34 36,42.7,Miu Miu,XS / IT 38 / EU 34,https://www.vinted.it/items/6912513803-authentique-chemise-miu-miu-39-12-soit-34-36?referrer=catalog,15,6912513803,On Sale,,https://images1.vinted.net/t/03_00765_5jk87WBxXfSAhXrpGk3RPtWH/310x430/1755789615.jpeg?s=742b2ae77f2f4b12e9304bd220c2927e0b6aef25,1,1,
T-Shirt Miu Miu,263.2,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6925471220-t-shirt-miu-miu?referrer=catalog,0,6925471220,On Sale,,https://images1.vinted.net/t/01_01d47_DcpShc7VPYgMbrLxTkYLh33H/310x430/1755962023.jpeg?s=636f873b9847cb454c63633f0a523ddf4b282587,1,1,
T-shirt Gucci // liberty london bleu turquoise,167.65,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6925469711-t-shirt-gucci-liberty-london-bleu-turquoise?referrer=catalog,0,6925469711,On Sale,,https://images1.vinted.net/t/01_019e9_HxRnkXvmsXVsBk6ZxTAEoEvu/310x430/1755962013.jpeg?s=3c20f9a5aa4483230986e9795b23d77665d7f2b8,1,1,
Gucci Top,47.95,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6925037700-gucci-top?referrer=catalog,4,6925037700,On Sale,,https://images1.vinted.net/t/04_000e5_gwCH1Rs5Zg9y4xoqqvXJUCQg/310x430/1755959171.jpeg?s=d7edaa99cc44140ab52e40c91037f040b89c5691,1,1,
Gucci Top,58.45,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6924997665-gucci-top?referrer=catalog,7,6924997665,On Sale,,https://images1.vinted.net/t/03_026c2_joeCVAQ2i2ZH3JDZqskxMbGz/310x430/1755958907.jpeg?s=322e18233056ddc5d71b30690dfe98d9ae4d5d98,1,1,
Top Miu Miu,221.2,Miu Miu,L / IT 44 / EU 40,https://www.vinted.it/items/6924904952-top-miu-miu?referrer=catalog,3,6924904952,On Sale,,https://images1.vinted.net/t/02_01506_6opg6bkffLueL2we4sBkwA3t/310x430/1755958307.jpeg?s=df2f1c28368e1beb0b63b12d13d9a7c19c069fa7,1,1,
Camicia Fendi,21.7,Fendi,L / IT 44 / EU 40,https://www.vinted.it/items/6924902776-camicia-fendi?referrer=catalog,8,6924902776,On Sale,,https://images1.vinted.net/t/03_024d4_KzNRHjKr3XEs6b1LWjSe7yQk/310x430/1755958292.jpeg?s=b355b12eb0bc578ccfda18428783a45181b91c02,1,1,
Débardeur Miu Miu,53.2,Miu Miu,S / IT 40 / EU 36,https://www.vinted.it/items/6915090064-debardeur-miu-miu?referrer=catalog,17,6915090064,On Sale,,https://images1.vinted.net/t/03_0210d_pizPKBy5pTnFDJjtWe4KQTnt/310x430/1755817487.jpeg?s=7b102b914ba26d236fc63fc2e8ad96a253cad352,1,1,
Débardeur Miu Miu,105.7,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6923964051-debardeur-miu-miu?referrer=catalog,61,6923964051,On Sale,,https://images1.vinted.net/t/04_00acb_hutu54K1hw58jk6aCGYzTRZt/310x430/1755952136.jpeg?s=f09e82331ed80f08b7fdc16c6f12d28e14fc339f,1,1,
