Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Azzaro the most Wanted Intense - EDP 100ml,42.7,Azzaro,0,https://www.vinted.it/items/6605948563-azzaro-the-most-wanted-intense-edp-100ml?referrer=catalog,9,6605948563,Sold,,https://images1.vinted.net/t/04_0052d_n34rTecHjuUrgxVCdvgnr2M6/310x430/1751372631.jpeg?s=d12b946f5b7ed1a234af59693ef4b93474bc1aa3,1,1
Azzaro the most wanted men's pefume,37.45,Azzaro,0,https://www.vinted.it/items/6605729044-azzaro-the-most-wanted-mens-pefume?referrer=catalog,2,6605729044,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_020e9_TY35UtTfmW6nYwjgTgD89Q2s/310x430/1751370323.jpeg?s=aee9acff764dbe1d1fe5888044d35fa4806aa323,1,1
Perfume Azzaro the most wanted parfum 100ml,37.45,Azzaro,0,https://www.vinted.it/items/6500388580-perfume-azzaro-the-most-wanted-parfum-100ml?referrer=catalog,2,6500388580,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00ee5_x7QTpJTaPntBvFaxdeVqgrFF/310x430/1750897484.jpeg?s=3fbd74ce461578a3857f4c48cc0bbf0d24b711f8,1,1
(LEGIT) Jean Paul Gaultier Le Male Elixir Absolu 125ml NUOVO,82.5,Jean Paul Gaultier,0,https://www.vinted.it/items/6591989271-legit-jean-paul-gaultier-le-male-elixir-absolu-125ml-nuovo?referrer=catalog,6,6591989271,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_01753_RnwQ3XrbuamLN9omgR8Cye8M/310x430/1751132278.jpeg?s=0b5a5bdb8449ce7ddc63a68a0d09aaba487c5b62,1,1
The most wanted,53.2,Azzaro,0,https://www.vinted.it/items/6602760109-the-most-wanted?referrer=catalog,1,6602760109,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_001bc_Vnq8kbJhSRPjofLYTaPbV8gn/310x430/1751305252.jpeg?s=7507af146c18a00eaff297e74fda40f630e82d71,1,1
Parfum homme Azzaro the most wanted 100ml,63.7,Wanted,0,https://www.vinted.it/items/6601743512-parfum-homme-azzaro-the-most-wanted-100ml?referrer=catalog,1,6601743512,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_003bd_XySy6YVShVVHnh1Uxqz5or8C/310x430/1751295531.jpeg?s=7ca68296d1b2952a48befe18de3eaee7b1407850,1,1
Azzaro the most wanted intense,4.9,Azzaro,0,https://www.vinted.it/items/6601704708-azzaro-the-most-wanted-intense?referrer=catalog,0,6601704708,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_0214f_72yB5zqG249KXYFnzNWt1Jpa/310x430/1751295153.jpeg?s=69bdcda13b2949b1abcba7183d25be5828175b31,1,1
The Most Wanted Azzaro 100ml,53.2,Azzaro,0,https://www.vinted.it/items/6601694806-the-most-wanted-azzaro-100ml?referrer=catalog,11,6601694806,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0073a_B3sENZrcwJgJckRZizd8BZz2/310x430/1751295056.jpeg?s=1d6f36f521363ffb326e7a03c5dd984e80fc6056,1,1
Parfum Azzaro the Most Wanted 100ml,63.7,Azzaro,0,https://www.vinted.it/items/6600162618-parfum-azzaro-the-most-wanted-100ml?referrer=catalog,3,6600162618,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_018a3_WbDvW7H3BrW6pxRBaGF8ycVB/310x430/1751280060.jpeg?s=ec36551e72eb0ad0bb80314bd9c957e0aa2d37fd,1,1
Parfum Azzaro The Most Wanted,74.2,Azzaro,0,https://www.vinted.it/items/6595112335-parfum-azzaro-the-most-wanted?referrer=catalog,1,6595112335,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_0098f_1TN7d5cXzFMBa1xFZnB8prwv/310x430/1751198014.jpeg?s=543056d034aaeda427a072ddd29bb489edd9dd3d,1,1
"The Most Wanted ""Intense 100ml",55.3,Azzaro,0,https://www.vinted.it/items/6594757724-the-most-wanted-intense-100ml?referrer=catalog,4,6594757724,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_01fb6_sVsMAe78Uud8yoUJ2T53oTZY/310x430/1751195003.jpeg?s=b59213b0fef70963e2af4ea329570dc2f1f09e3d,1,1
Parfum Azzaro the most wanted 100ml.,53.2,Azzaro,0,https://www.vinted.it/items/6593781835-parfum-azzaro-the-most-wanted-100ml?referrer=catalog,6,6593781835,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_00ba4_4GA2Q7tC3ajyWq4CfW8YJjWJ/310x430/1751186579.jpeg?s=f6bf95ff56b7651c21705e94094698361a84afb1,1,1
"Parfum The Most Wanted version ""Parfum"" Azzaro 100
ml",59.5,Azzaro,0,https://www.vinted.it/items/6592600600-parfum-the-most-wanted-version-parfum-azzaro-100-ml?referrer=catalog,29,6592600600,Sold,02/07/2025 07:10:57,https://images1.vinted.net/t/02_00e09_gjnbKgQTaNUvD31u4E6WNgZU/310x430/1751140360.jpeg?s=ef56ddc266441f319b20d13e5e052b4fededb03d,1,1
Perfumes,606.0,No brand,0,https://www.vinted.it/items/6591446753-perfumes?referrer=catalog,0,6591446753,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_009fa_DvZMRoBmh9RjVdr1kkVpGivM/310x430/1751126466.jpeg?s=3cf12ad1adc8c6fa54c029d7b681eeda81087d66,1,1
The most wanted parfum100ml,55.3,Azzaro,0,https://www.vinted.it/items/6590985951-the-most-wanted-parfum100ml?referrer=catalog,1,6590985951,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_019de_NA88jCTV9zXxPSQkmndR7ix9/310x430/1751122019.jpeg?s=46528ae55959f5006f8e110b5ef25488d9531ac8,1,1
Azzaro the most wanted 100ml,58.45,Azzaro,0,https://www.vinted.it/items/6589391792-azzaro-the-most-wanted-100ml?referrer=catalog,2,6589391792,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0013d_dH9YdE3afu9nE75Do1U8HiW2/310x430/1751106699.jpeg?s=ce6c2d917c0131f81885e7d7f8f599f36b65cd7e,1,1
Azzaro the most wanted,63.7,Azzaro,0,https://www.vinted.it/items/6589380726-azzaro-the-most-wanted?referrer=catalog,2,6589380726,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0001b_rmyPeeSrnfVZZMmCoPyNpdAs/310x430/1751106591.jpeg?s=f2b2c5ff5fac704c350ba99f3feeb80a953a7cb4,1,1
The Most Wanted Parfum Azzaro muestra 5ml,8.05,Azzaro,0,https://www.vinted.it/items/6586325913-the-most-wanted-parfum-azzaro-muestra-5ml?referrer=catalog,4,6586325913,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0221e_X2jxr5AerU9y7L6Fm6DsKnDE/310x430/1751039661.jpeg?s=0119bdb3cdf432c217a9fb1c7819c5e676762bd4,1,1
Azzaro The Most Wanted Parfum,74.2,Azzaro,0,https://www.vinted.it/items/6586140856-azzaro-the-most-wanted-parfum?referrer=catalog,1,6586140856,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_006b0_uxpspFewLFjTRRrELyq9Jdqk/310x430/1751037753.jpeg?s=dee927672f4d0528cfd941d6690faeefc902c279,1,1
The most wanted parfum 100ml,55.3,Azzaro,0,https://www.vinted.it/items/6585110847-the-most-wanted-parfum-100ml?referrer=catalog,2,6585110847,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_0155f_31QuPsK6LVwY3CzJyvYhk2en/310x430/1751027178.jpeg?s=104408828cef45400d17a4795b434ec48627d86e,1,1
Wanted the most Homme - 50ml,53.2,Azzaro,0,https://www.vinted.it/items/6581998867-wanted-the-most-homme-50ml?referrer=catalog,3,6581998867,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_0053f_EJgbmNHo4HDXWhHLnoZKX5k1/310x430/1750960814.jpeg?s=bac0748ee86ac119a4e6874c8dcb405e68063d29,1,1
Azzaro The Most Wanted Parfum Intense 50ml,44.14,Azzaro,0,https://www.vinted.it/items/6577809155-azzaro-the-most-wanted-parfum-intense-50ml?referrer=catalog,2,6577809155,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_01275_3DA3J3BJdhr7Ft88bhgUGVEA/310x430/1750889702.jpeg?s=c2abaf6d2318c334a4b5f21e7936897bbd083a37,1,1
