Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Baume à lèvre Parda,21.7,Prada,0,https://www.vinted.it/items/8268941211-baume-a-levre-parda?referrer=catalog,4,8268941211,Sold,27/02/2026 14:52:00,,https://images1.vinted.net/t/05_00e3c_xAeJU2LVL4dUqjHKCZ1zMEWQ/310x430/1772138660.webp?s=a3ec11eac876e0c3392d1352d92020c84ca5bb48,3,4
La Femme Prada 100 ml,35.35,Prada,0,https://www.vinted.it/items/8267005096-la-femme-prada-100-ml?referrer=catalog,3,8267005096,Sold,27/02/2026 14:52:25,,https://images1.vinted.net/t/06_024d2_SN6tcpGz4vnXNfx4DUp5cNYN/310x430/1772123217.webp?s=f525e994561205281930d833ccc32b11e63f4fff,3,5
Prada stropdas,26.95,geen merk,0,https://www.vinted.it/items/8265346139-prada-stropdas?referrer=catalog,9,8265346139,Sold,27/02/2026 14:52:50,,https://images1.vinted.net/t/06_01bbb_Gx6VDH1JKbeYwUEGANt4j4rk/310x430/1772111542.webp?s=283c9b52b63eaf731b0a59ff42ceabf3e6470942,3,6
Prada t-shirt,37.45,Prada,M / IT 42 / EU 38,https://www.vinted.it/items/8266170452-prada-t-shirt?referrer=catalog,49,8266170452,Sold,27/02/2026 14:52:25,,https://images1.vinted.net/t/06_02423_sz4zXgU6wazwY8eF9SWucT6p/310x430/1772117349.webp?s=6c3c3ec342397c28c8c45843c485e90f67d0f399,3,5
Prada Milano Jacke,74.2,Prada,XL,https://www.vinted.it/items/8265490449-prada-milano-jacke?referrer=catalog,10,8265490449,Sold,27/02/2026 14:52:50,,https://images1.vinted.net/t/01_00b5e_UVZ6JLwBQbHPHWUfBQXK6MMa/310x430/1772112586.webp?s=418660389c703a7af4b464083382fc954e46f7cd,3,6
Prada cup,126.7,Prada,44,https://www.vinted.it/items/8265456683-prada-cup?referrer=catalog,4,8265456683,Sold,27/02/2026 14:52:50,,https://images1.vinted.net/t/01_02633_xgLinbn5kZeqnm8kRZpAGcYo/310x430/1772112342.webp?s=80415faad34b6c5d42028c4f29d7ede091b7c1dd,3,6
Prada cup blanche,137.2,Prada,43,https://www.vinted.it/items/8267404378-prada-cup-blanche?referrer=catalog,15,8267404378,Sold,27/02/2026 14:52:25,,https://images1.vinted.net/t/05_023d7_gAaWoFHCrC9cJAUfuqyKGK9H/310x430/1772126045.webp?s=ff7eea47c35f98fdd36f4eed18c818c8fa384e7a,3,5
Occhiali da sole Prada,158.2,Prada,0,https://www.vinted.it/items/8270532570-occhiali-da-sole-prada?referrer=catalog,3,8270532570,Sold,27/02/2026 15:33:13,,https://images1.vinted.net/t/06_026d3_2zVLTvvoijcUKBaRWHW5wWLX/310x430/1772184378.webp?s=4906e3b5eb73f421ed3a0f90a1cc179c8a6a3986,4,3
Paradoxe Eau De Perfum 90 ml,51.1,Prada,0,https://www.vinted.it/items/8269978059-paradoxe-eau-de-perfum-90-ml?referrer=catalog,20,8269978059,Sold,27/02/2026 15:33:13,,https://images1.vinted.net/t/04_0170e_zzA2GPGgz3FFLvLKUKbZsk21/310x430/1772177709.webp?s=d78118d08c218ac1fa89c92e58e7bd27454ba8b4,4,3
Prada Sunglasses / NEW / Black,79.45,Prada,0,https://www.vinted.it/items/8270169463-prada-sunglasses-new-black?referrer=catalog,20,8270169463,Sold,27/02/2026 15:33:13,,https://images1.vinted.net/t/05_0105c_6vyfy99N4gXnU2MLky51pqwa/310x430/1772180575.webp?s=8142868261c5147a17ac26337fb8975d6c95dd1d,4,3
Prada cup,126.7,Prada,44,https://www.vinted.it/items/8265456683-prada-cup?referrer=catalog,4,8265456683,Sold,27/02/2026 14:52:50,,https://images1.vinted.net/t/01_02633_xgLinbn5kZeqnm8kRZpAGcYo/310x430/1772112342.webp?s=80415faad34b6c5d42028c4f29d7ede091b7c1dd,3,6
