ProductId,n,VariantsFound,VariantSilhouette
4,4,1,
7,5,1,
15,4,1,
17,5,1,
23,5,1,
28,5,1,
30,4,1,
33,4,1,
34,5,1,
39,9,3,0.8888887763023376
44,5,1,
45,5,1,
52,4,1,
53,5,1,
54,4,1,
64,4,1,
68,4,2,0.9999998807907104
79,6,1,
80,6,2,0.8333333134651184
81,5,1,
85,4,1,
88,4,1,
91,4,1,
96,16,5,0.758285403251648
99,5,3,0.7999998331069946
100,5,1,
104,4,1,
110,5,1,
125,4,2,0.9999998807907104
129,12,2,0.9669201970100403
131,4,1,
132,15,3,0.9999995827674866
140,5,1,
143,5,1,
144,4,1,
146,5,1,
148,5,1,
150,4,1,
159,4,1,
162,5,1,
169,6,1,
176,5,1,
177,5,1,
178,5,1,
179,4,1,
187,5,1,
213,5,1,
220,4,1,
223,6,2,0.919240415096283
224,5,1,
225,4,1,
233,4,1,
234,6,2,1.0
236,4,1,
240,7,1,
243,5,1,
247,10,1,
248,6,1,
252,4,1,
253,9,1,
257,5,1,
264,7,2,0.9999996423721313
268,5,2,0.800000011920929
273,4,1,
274,4,1,
279,5,1,
280,4,1,
281,44,10,0.7230691313743591
283,5,2,0.7999998927116394
285,4,1,
287,4,1,
288,13,4,0.8221641778945923
297,5,1,
300,5,1,
307,5,1,
308,5,1,
310,5,1,
315,4,1,
319,5,1,
321,4,1,
324,4,1,
327,7,3,0.5610341429710388
328,7,2,0.8328229784965515
331,4,1,
336,5,1,
337,4,1,
338,8,1,
341,8,1,
344,5,1,
345,5,1,
349,5,1,
352,5,1,
353,5,1,
360,6,2,0.8333333134651184
361,5,2,0.800000011920929
362,5,1,
363,8,1,
367,6,1,
368,6,1,
371,5,1,
374,4,1,
377,5,1,
379,5,1,
384,6,4,0.6666665077209473
387,8,1,
391,12,1,
394,4,1,
402,5,2,0.9999995231628418
403,4,1,
404,5,1,
405,4,1,
409,6,2,0.49855852127075195
410,13,5,0.38177475333213806
416,5,1,
418,5,1,
423,28,2,0.9999998807907104
425,7,1,
427,6,2,0.8333333134651184
436,4,2,1.0
437,4,1,
438,8,2,0.8661802411079407
445,16,4,0.7026265859603882
446,24,6,0.7782585024833679
447,4,1,
449,4,1,
451,4,1,
453,4,1,
455,4,1,
456,57,8,0.6472272872924805
464,56,9,0.7293494343757629
465,5,3,0.5999996066093445
467,5,1,
474,105,9,0.6460744738578796
475,5,2,0.800000011920929
477,4,1,
483,5,1,
485,13,3,0.9682396650314331
487,5,2,0.9999997019767761
488,6,2,0.9281787872314453
489,95,7,0.5785384178161621
490,5,1,
491,5,1,
493,97,9,0.6498885154724121
495,5,1,
498,7,1,
504,9,3,0.7389782667160034
505,4,1,
508,12,3,1.0
509,5,1,
510,4,1,
511,5,1,
513,11,3,0.9711515307426453
514,11,2,0.7537345886230469
516,6,3,0.6368283629417419
518,10,3,0.6583226919174194
519,7,2,0.8850052952766418
521,8,3,0.7868223190307617
523,16,3,0.7884616851806641
524,5,1,
528,20,6,0.9033118486404419
530,26,6,0.7999810576438904
534,5,1,
535,13,4,0.8982533812522888
536,7,3,0.8571427464485168
537,26,2,0.9819174408912659
539,4,2,0.75
540,7,2,0.9999997019767761
541,7,3,0.9999997019767761
547,6,3,0.6666666865348816
550,14,5,0.6873337030410767
551,22,5,0.8134046196937561
555,150,7,0.7032688856124878
556,7,2,0.9207455515861511
563,5,1,
565,129,6,0.6476245522499084
566,8,3,0.3312143087387085
569,22,6,0.871326208114624
570,4,1,
571,78,10,0.6451972723007202
572,50,4,0.6172286868095398
574,6,1,
576,39,6,0.6098284125328064
582,33,4,0.6882203221321106
585,8,1,
586,7,1,
587,4,1,
589,4,1,
591,5,2,1.0
597,10,3,0.6599627733230591
598,12,1,
599,18,3,0.8308126330375671
601,4,1,
602,24,4,0.7994754910469055
610,41,8,0.5987537503242493
615,29,3,0.5953882932662964
617,25,4,0.7635353207588196
622,5,1,
623,17,3,0.7485637664794922
624,4,1,
625,8,2,0.9293311238288879
626,4,1,
627,11,4,0.9090902209281921
628,11,2,0.9065523743629456
629,6,2,0.8157439827919006
632,4,1,
637,5,1,
640,6,1,
