ProductId,VariantId,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,CoreFrac,VariantThreshold,PriceWeight
0,0,7,,9.1,9.1,9.1,0.6,0.36,0.25
7,7,5,,37.45,37.45,37.45,0.6,0.36,0.25
7,8,2,juego,40.6,40.6,40.6,0.6,0.36,0.25
8,9,3,valhalla,5.85,5.85,5.85,0.78,0.36,0.25
8,10,1,syndicate special edizion,8.05,8.05,8.05,0.78,0.36,0.25
8,11,1,odyssey,8.04,8.04,8.04,0.78,0.36,0.25
14,17,7,,11.2,11.2,11.2,0.6,0.36,0.25
22,25,4,,4.38,4.38,4.38,0.6,0.36,0.25
24,27,6,,40.6,40.6,40.6,0.6,0.36,0.25
30,33,7,,63.7,63.7,63.7,0.6,0.36,0.25
33,36,5,,5.95,5.95,8.58,0.6,0.36,0.25
39,42,4,,26.95,26.95,26.95,0.6,0.36,0.25
43,46,6,,26.95,26.95,26.95,0.6,0.36,0.25
52,55,5,,11.2,11.2,11.2,0.6,0.36,0.25
55,58,5,,8.05,8.05,8.05,0.6,0.36,0.25
65,68,5,,16.45,16.45,16.45,0.6,0.36,0.25
66,69,6,,11.2,11.2,11.2,0.6,0.36,0.25
71,74,7,,9.1,9.1,9.1,0.6,0.36,0.25
74,77,4,,11.2,8.05,11.2,0.6,0.36,0.25
81,84,6,,21.7,21.7,21.7,0.6,0.36,0.25
90,93,7,,26.95,26.95,26.95,0.6,0.36,0.25
