Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,EmbedText,ProductId,VariantId,VariantText,DealScore,DealNotes
FIFA 16,16.45,No brand,0,https://www.vinted.it/items/8274519576-fifa-16?referrer=catalog,0,8274519576,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_00e21_NoAfe1Sc1Xuoa5yWtHWZMJgc/310x430/1772213784.webp?s=bc1626de1078ac2f7b0cfae51850600524fbbf3d,1,2,fifa 16,no brand,fifa 16 | no brand | 0,30,94,fifa 16,,new_variant_created
Final Fantasy VIII  PS1 - Edición Original PAL 4 Discos,79.45,No brand,0,https://www.vinted.it/items/8274514823-final-fantasy-viii-ps1-edicion-original-pal-4-discos?referrer=catalog,0,8274514823,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_009f3_kohvyTnSD9q7qYZkKND8XA4m/310x430/1772213747.webp?s=1bedd198aa2298a8b911fcbb6ee16362ce962db5,1,2,final fantasy viii ps1 edicion original pal 4 discos,no brand,final fantasy viii ps1 edicion original pal 4 discos | no brand | 0,2,95,viii ps1 edicion original pal discos,,new_variant_created
PS4 Spiele Dracon Ball Z,9.63,No brand,0,https://www.vinted.it/items/8274511717-ps4-spiele-dracon-ball-z?referrer=catalog,0,8274511717,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00711_4dEXriRJyqDaHupkKY2ixc1W/310x430/1772213723.webp?s=020a687a00d298cf88321c587a752a449fbf5657,1,2,ps4 spiele dracon ball z,no brand,ps4 spiele dracon ball z | no brand | 0,64,96,spiele dracon ball,,new_variant_created
Jeux play Rainbowsix,16.45,No brand,0,https://www.vinted.it/items/8274493601-jeux-play-rainbowsix?referrer=catalog,0,8274493601,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_015c7_1FWo9zER6LPHQGSGRyGKkEF5/310x430/1772213581.webp?s=354f56440aec4a37703d8b234035be1b2eb1bfda,1,2,jeux play rainbowsix,no brand,jeux play rainbowsix | no brand | 0,-1,-1,,,unassigned_product
Manette Sans Fil Bluetooth JORREP pour PS4 / Pro / Slim - NEUVE,20.65,JORREP,0,https://www.vinted.it/items/8274285794-manette-sans-fil-bluetooth-jorrep-pour-ps4-pro-slim-neuve?referrer=catalog,34,8274285794,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_005d5_che4wDwRYtsRVtZ22FY7ByRg/310x430/1772212672.webp?s=48bbb06a87cb91711d7d5a6a10717554f5f5861a,1,2,manette sans fil bluetooth jorrep pour ps4 pro slim neuve,jorrep,manette sans fil bluetooth jorrep pour ps4 pro slim neuve | jorrep | 0,0,97,sans fil jorrep pour ps4 pro slim neuve,,new_variant_created
8-Bit Invaders 💥 Playstation 4 💥 New/Neuf/Nuevo,11.19,No brand,0,https://www.vinted.it/items/8274478405-8-bit-invaders-playstation-4-newneufnuevo?referrer=catalog,7,8274478405,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01f28_HdQmRyWRZe4JtGBD6ekQhZk2/310x430/1772213463.webp?s=b42a4c00de3a30617ceb7f8b8a4f749b10ab672f,1,2,8 bit invaders playstation 4 new neuf nuevo,no brand,8 bit invaders playstation 4 new neuf nuevo | no brand | 0,-1,-1,,,unassigned_product
Castlevania Advance Collection Ps4,116.2,No brand,0,https://www.vinted.it/items/8274469754-castlevania-advance-collection-ps4?referrer=catalog,5,8274469754,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_021a4_1Fab2zdt4gcQ35JCUWM8nc62/310x430/1772213399.webp?s=b736fe1fdb0ea5f21b178a77446d3a3bb10487d1,1,2,castlevania advance collection ps4,no brand,castlevania advance collection ps4 | no brand | 0,-1,-1,,,unassigned_product
Fallout 4,11.2,No brand,0,https://www.vinted.it/items/8274468998-fallout-4?referrer=catalog,0,8274468998,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_015ea_VkGgb7zjB6khRdBEsZCjGFCP/310x430/1772213541.webp?s=4cadf5e0c144fd08a043563a9b763c062ff7fe26,1,2,fallout 4,no brand,fallout 4 | no brand | 0,-1,-1,,,unassigned_product
Jeu ps4 Battflefield 4,13.3,No brand,0,https://www.vinted.it/items/8274468102-jeu-ps4-battflefield-4?referrer=catalog,0,8274468102,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_016be_DSM3iKDYZ6uxkxrejK8CtmdY/310x430/1772213386.webp?s=615e68a486d9555dbd9b9743fbd342a36fe55791,1,2,jeu ps4 battflefield 4,no brand,jeu ps4 battflefield 4 | no brand | 0,47,98,jeu ps4 battflefield,,new_variant_created
MotoGP 4 Platinum ps2 neuf,16.45,No brand,0,https://www.vinted.it/items/8274463668-motogp-4-platinum-ps2-neuf?referrer=catalog,0,8274463668,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00a64_xbwFDMxLcJZvNRKckbyfnpzN/310x430/1772213353.webp?s=38fb7cc624855dc356acc776893402dd52a4006b,1,2,motogp 4 platinum ps2 neuf,no brand,motogp 4 platinum ps2 neuf | no brand | 0,-1,-1,,,unassigned_product
Ps4 Spiele Hogwarts Legacy,21.7,No brand,0,https://www.vinted.it/items/8274460973-ps4-spiele-hogwarts-legacy?referrer=catalog,1,8274460973,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_0067f_xG4GeUVxH4enYNM1Vg1Gmgyy/310x430/1772213333.webp?s=69cf7beed0029eeb55453c68bd190f06bfb3df81,1,2,ps4 spiele hogwarts legacy,no brand,ps4 spiele hogwarts legacy | no brand | 0,-1,-1,,,unassigned_product
