Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Sandalias de plataforma 38,10.15,De,38.0,https://www.vinted.it/items/6538299760-sandalias-de-plataforma-38?referrer=catalog,0,6538299760,Sold,18/06/2025 21:42:33,https://images1.vinted.net/t/04_00d55_fvZFQvN6MM43uvvUVYyLpSK5/f800/1750275027.jpeg?s=b74b6aef4c1837d2753245101afe82d144f269e2,6,1
Omoda loafers,37.45,Omoda,38.0,https://www.vinted.it/items/6458807600-omoda-loafers-met-gouden-gesp?referrer=catalog,0,6458807600,Sold,18/06/2025 21:58:41,https://images1.vinted.net/t/03_0246c_j2UdSdCYmwXbJZeFWXWQgQdA/f800/1749125101.jpeg?s=458ea402b695770e7db7efd6c2ed3d3ea0c24554,6,1
Chaussures Basses,16.45,Bensimon,39.0,https://www.vinted.it/items/6538299397-chaussures-basses?referrer=catalog,0,6538299397,Sold,18/06/2025 21:58:41,,6,1
Scarpe estive,11.2,Donna,37.0,https://www.vinted.it/items/6538298061-scarpe-estive?referrer=catalog,0,6538298061,Sold,18/06/2025 21:58:41,,6,1
Sabots neuf pour femme pointure 38,11.2,No brand,38.0,https://www.vinted.it/items/6538297982-sabots-neuf-pour-femme-pointure-38?referrer=catalog,0,6538297982,Sold,18/06/2025 21:58:41,,6,1
Botte noir montante,19.6,Noir,40.0,https://www.vinted.it/items/6538297441-botte-noir-montante?referrer=catalog,0,6538297441,Sold,18/06/2025 21:42:33,,6,1
Sandalias plataforma,16.45,Tienda Local,39.0,https://www.vinted.it/items/6538295151-sandalias-plataforma?referrer=catalog,0,6538295151,Sold,18/06/2025 21:58:41,,6,1
Sandales fushia et doré,11.2,Palladium,39.0,https://www.vinted.it/items/6538295124-sandales-fushia-et-dore?referrer=catalog,0,6538295124,Sold,18/06/2025 21:42:33,,6,1
Sandale dorée stradivarius,18.55,Stradivarius,37.0,https://www.vinted.it/items/6538295508-sandale-doree-stradivarius?referrer=catalog,0,6538295508,Sold,18/06/2025 21:58:41,,6,1
Birkenstock voor fannyfan1.,1.75,No brand,40.0,https://www.vinted.it/items/6538287032-birkenstock-voor-fannyfan1?referrer=catalog,0,6538287032,Sold,,,6,1
vendo scarpe,37.45,Skechers,40.0,https://www.vinted.it/items/6538292627-vendo-scarpe?referrer=catalog,0,6538292627,Sold,18/06/2025 21:58:41,,6,1
Crocs,22.96,Crocs,38.0,https://www.vinted.it/items/6538292593-crocs?referrer=catalog,0,6538292593,Sold,18/06/2025 21:58:41,,6,1
Zapato plano,2.8,Primark,38.0,https://www.vinted.it/items/6538287104-zapato-plano?referrer=catalog,0,6538287104,Sold,18/06/2025 21:42:33,,6,1
Ciabatte donna 38,9.1,Doctor Shoes,38.0,https://www.vinted.it/items/6543308741-ciabatte-donna-38?referrer=catalog,0,6543308741,Sold,,,1,1
Chanclas negras,1.75,No brand,41.0,https://www.vinted.it/items/6543110132-chanclas-negras?referrer=catalog,0,6543110132,Sold,,,1,1
Chanclas negras,1.75,No brand,41.0,https://www.vinted.it/items/6543110132-chanclas-negras?referrer=catalog,0,6543110132,Sold,,,1,1
Ciabatte donna 38,9.1,Doctor Shoes,38.0,https://www.vinted.it/items/6543308741-ciabatte-donna-38?referrer=catalog,0,6543308741,Sold,,,1,1
Sandalias señora marrones talla 39,5.95,FootFlexx,39.0,https://www.vinted.it/items/6543295408-sandalias-senora-marrones-talla-39?referrer=catalog,0,6543295408,Sold,19/06/2025 20:35:30,,1,2
Havaianas Slim Sparkle Metal Preto 35-36,18.55,Havaianas,36.0,https://www.vinted.it/items/6543295584-havaianas-slim-sparkle-metal-preto-35-36?referrer=catalog,1,6543295584,Sold,19/06/2025 20:35:30,,1,2
Claquette taille 39 adidas,7.53,adidas,39.0,https://www.vinted.it/items/6543265372-claquette-taille-39-adidas?referrer=catalog,0,6543265372,Sold,,,1,4
Birkenstock Arizona,74.2,Birkenstock,38.0,https://www.vinted.it/items/6543260962-birkenstock-arizona?referrer=catalog,7,6543260962,Sold,,,1,4
Sandalen pantoletten schwarz gold neu,11.2,Zara,38.0,https://www.vinted.it/items/6543255494-sandalen-pantoletten-schwarz-gold-neu?referrer=catalog,1,6543255494,Sold,,,1,4
Sandalen Pantoletten weiß gold neu,11.2,Zara,38.0,https://www.vinted.it/items/6543255512-sandalen-pantoletten-weiss-gold-neu?referrer=catalog,3,6543255512,Sold,,,1,4
Sandalias señora marrones talla 39,5.95,FootFlexx,39.0,https://www.vinted.it/items/6543295408-sandalias-senora-marrones-talla-39?referrer=catalog,0,6543295408,Sold,19/06/2025 20:35:30,,1,2
Chanclas negras,1.75,No brand,41.0,https://www.vinted.it/items/6543110132-chanclas-negras?referrer=catalog,0,6543110132,Sold,,,1,1
Havaianas Slim Sparkle Metal Preto 35-36,18.55,Havaianas,36.0,https://www.vinted.it/items/6543295584-havaianas-slim-sparkle-metal-preto-35-36?referrer=catalog,1,6543295584,Sold,19/06/2025 20:35:30,,1,2
Birkenstock Arizona,74.2,Birkenstock,38.0,https://www.vinted.it/items/6543260962-birkenstock-arizona?referrer=catalog,7,6543260962,Sold,,,1,4
Claquette taille 39 adidas,7.53,adidas,39.0,https://www.vinted.it/items/6543265372-claquette-taille-39-adidas?referrer=catalog,0,6543265372,Sold,,,1,4
Ciabatte donna 38,9.1,Doctor Shoes,38.0,https://www.vinted.it/items/6543308741-ciabatte-donna-38?referrer=catalog,0,6543308741,Sold,,,1,1
Halboffene Schuhe,5.95,Rohde,37.5,https://www.vinted.it/items/6543359990-halboffene-schuhe?referrer=catalog,1,6543359990,Sold,,,2,1
Sandalias talla 36 sin estrenar,5.95,Merkal,36.0,https://www.vinted.it/items/6543366743-sandalias-talla-36-sin-estrenar?referrer=catalog,0,6543366743,Sold,19/06/2025 20:44:23,,2,1
Sandali platform in pelle bianchi,8.05,Luisa galdi,37.0,https://www.vinted.it/items/6543372586-sandali-platform-in-pelle-bianchi?referrer=catalog,0,6543372586,Sold,,,2,1
Bailarinas kennel & schmenger,16.45,Kennel & Schmenger,39.0,https://www.vinted.it/items/6543349687-bailarinas-kennel-schmenger?referrer=catalog,0,6543349687,Sold,19/06/2025 20:44:23,,2,2
Sandalen Pantoletten weiß gold neu,11.2,Zara,38.0,https://www.vinted.it/items/6543255512-sandalen-pantoletten-weiss-gold-neu?referrer=catalog,3,6543255512,Sold,,,1,4
Sandalen pantoletten schwarz gold neu,11.2,Zara,38.0,https://www.vinted.it/items/6543255494-sandalen-pantoletten-schwarz-gold-neu?referrer=catalog,1,6543255494,Sold,,,1,4
Nike Metcon 9,89.95,Nike,37.5,https://www.vinted.it/items/6515634183-nike-metcon-9?referrer=catalog,2,6515634183,Sold,,,2,2
Sandales airstep,31.15,A.S.98,40.0,https://www.vinted.it/items/6543325233-sandales-airstep?referrer=catalog,0,6543325233,Sold,19/06/2025 20:44:23,,2,3
Basket toile,2.8,No brand,41.0,https://www.vinted.it/items/6543415468-basket-toile?referrer=catalog,0,6543415468,Sold,,,3,1
Ciabatte donna 38,9.1,Doctor Shoes,38.0,https://www.vinted.it/items/6543308741-ciabatte-donna-38?referrer=catalog,0,6543308741,Sold,,,1,1
Halboffene Schuhe,5.95,Rohde,37.5,https://www.vinted.it/items/6543359990-halboffene-schuhe?referrer=catalog,1,6543359990,Sold,,,2,1
Sandalias talla 36 sin estrenar,5.95,Merkal,36.0,https://www.vinted.it/items/6543366743-sandalias-talla-36-sin-estrenar?referrer=catalog,0,6543366743,Sold,19/06/2025 20:44:23,,2,1
Sandali platform in pelle bianchi,8.05,Luisa galdi,37.0,https://www.vinted.it/items/6543372586-sandali-platform-in-pelle-bianchi?referrer=catalog,0,6543372586,Sold,,,2,1
Chanclas negras,1.75,No brand,41.0,https://www.vinted.it/items/6543110132-chanclas-negras?referrer=catalog,0,6543110132,Sold,,,1,1
Sandales cloutées orange 38,7.0,sans marque,38.0,https://www.vinted.it/items/6543353973-sandales-cloutees-orange-38?referrer=catalog,0,6543353973,Sold,19/06/2025 20:53:07,,2,2
Sandales cloutées orange 38,7.0,sans marque,38.0,https://www.vinted.it/items/6543353973-sandales-cloutees-orange-38?referrer=catalog,0,6543353973,Sold,19/06/2025 20:53:07,,2,1
Bailarinas kennel & schmenger,16.45,Kennel & Schmenger,39.0,https://www.vinted.it/items/6543349687-bailarinas-kennel-schmenger?referrer=catalog,0,6543349687,Sold,19/06/2025 20:44:23,,2,2
Nike Metcon 9,89.95,Nike,37.5,https://www.vinted.it/items/6515634183-nike-metcon-9?referrer=catalog,2,6515634183,Sold,,,2,2
Sandales airstep,31.15,A.S.98,40.0,https://www.vinted.it/items/6543325233-sandales-airstep?referrer=catalog,0,6543325233,Sold,19/06/2025 20:44:23,,2,3
Basket toile,2.8,No brand,41.0,https://www.vinted.it/items/6543415468-basket-toile?referrer=catalog,0,6543415468,Sold,,,3,1
Birkenstock,53.2,Birkenstock,39.0,https://www.vinted.it/items/6543379139-birkenstock?referrer=catalog,3,6543379139,Sold,19/06/2025 20:53:07,,3,2
Adidas gazelle,32.2,adidas,39.0,https://www.vinted.it/items/6543422826-adidas-gazelle?referrer=catalog,1,6543422826,Sold,,,4,3
Adidas Samba blanches T38 neuves boîte,47.94,adidas,38.0,https://www.vinted.it/items/6543420535-adidas-samba-blanches-t38-neuves-boite?referrer=catalog,3,6543420535,Sold,,,4,3
Sandalias talla 36 sin estrenar,5.95,Merkal,36.0,https://www.vinted.it/items/6543366743-sandalias-talla-36-sin-estrenar?referrer=catalog,0,6543366743,Sold,19/06/2025 20:44:23,,2,1
Sandales cloutées orange 38,7.0,sans marque,38.0,https://www.vinted.it/items/6543353973-sandales-cloutees-orange-38?referrer=catalog,0,6543353973,Sold,19/06/2025 20:53:07,,2,1
Halboffene Schuhe,5.95,Rohde,37.5,https://www.vinted.it/items/6543359990-halboffene-schuhe?referrer=catalog,1,6543359990,Sold,,,2,1
Sandales cloutées orange 38,7.0,sans marque,38.0,https://www.vinted.it/items/6543353973-sandales-cloutees-orange-38?referrer=catalog,0,6543353973,Sold,19/06/2025 20:53:07,,2,2
Bailarinas kennel & schmenger,16.45,Kennel & Schmenger,39.0,https://www.vinted.it/items/6543349687-bailarinas-kennel-schmenger?referrer=catalog,0,6543349687,Sold,19/06/2025 20:44:23,,2,2
Sandali platform in pelle bianchi,8.05,Luisa galdi,37.0,https://www.vinted.it/items/6543372586-sandali-platform-in-pelle-bianchi?referrer=catalog,0,6543372586,Sold,,,2,1
Chaussures d'été,5.95,C'M Paris,38.0,https://www.vinted.it/items/6543352056-chaussures-dete?referrer=catalog,0,6543352056,Sold,19/06/2025 20:58:23,,2,2
Nike Metcon 9,89.95,Nike,37.5,https://www.vinted.it/items/6515634183-nike-metcon-9?referrer=catalog,2,6515634183,Sold,,,2,2
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,1
Mules Mostarda,3.85,Local,36.5,https://www.vinted.it/items/6543428584-mules-mostarda?referrer=catalog,0,6543428584,Sold,19/06/2025 20:58:23,,4,2
Adidas gazelle,32.2,adidas,39.0,https://www.vinted.it/items/6543422826-adidas-gazelle?referrer=catalog,1,6543422826,Sold,,,4,3
Adidas Samba blanches T38 neuves boîte,47.94,adidas,38.0,https://www.vinted.it/items/6543420535-adidas-samba-blanches-t38-neuves-boite?referrer=catalog,3,6543420535,Sold,,,4,3
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,2
Sandali,5.95,Gianmarco puma,39.0,https://www.vinted.it/items/6543394165-sandali?referrer=catalog,0,6543394165,Sold,19/06/2025 21:04:56,,3,1
Sandali,5.95,Gianmarco puma,39.0,https://www.vinted.it/items/6543394165-sandali?referrer=catalog,0,6543394165,Sold,19/06/2025 21:04:56,,3,2
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,1
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,1
Chaussures compenser marron,5.95,Gémo,38.0,https://www.vinted.it/items/6543525719-chaussures-compenser-marron?referrer=catalog,0,6543525719,Sold,,,6,1
Sandales,4.38,No brand,35.0,https://www.vinted.it/items/6543517345-sandales?referrer=catalog,0,6543517345,Sold,,,6,1
Adidas Samba Talla 41 1/3,81.5,adidas,41.0,https://www.vinted.it/items/6543513857-adidas-samba-talla-41-13?referrer=catalog,0,6543513857,Sold,19/06/2025 21:28:47,,6,1
Leder Skandalen,11.2,ECCO,40.0,https://www.vinted.it/items/6543664697-leder-skandalen?referrer=catalog,0,6543664697,Sold,,,9,1
Sandalia negra Mango tachuela dorada talla 37,9.1,Mango,37.0,https://www.vinted.it/items/6543609238-sandalia-negra-mango-tachuela-dorada-talla-37?referrer=catalog,3,6543609238,Sold,19/06/2025 21:28:46,,8,1
Havaianas You St Tropez Mesh Preto 39-40,16.45,Havaianas,39.0,https://www.vinted.it/items/6543617943-havaianas-you-st-tropez-mesh-preto-39-40?referrer=catalog,0,6543617943,Sold,19/06/2025 21:44:35,,8,1
Zapatillas Samba,16.45,Samba,39.0,https://www.vinted.it/items/6543627188-zapatillas-samba?referrer=catalog,0,6543627188,Sold,19/06/2025 21:28:46,,8,1
Sandalias verano,9.1,Local Fanatic,39.0,https://www.vinted.it/items/6543610099-sandalias-verano?referrer=catalog,0,6543610099,Sold,19/06/2025 21:28:46,,8,1
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
