Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Blouse,7.0,christy,XXL / IT 48 / EU 44,https://www.vinted.it/items/6880612315-blouse?referrer=catalog,0,6880612315,On Sale,,https://images1.vinted.net/t/02_00ea1_6r9z8189SYoMjXUfGgrS9dqw/310x430/1755366601.webp?s=4de908bec0587d2a65bc7b7f22119806a1b90aaa,1,1,
Top noir sans manche,3.85,sans marque,S / IT 40 / EU 36,https://www.vinted.it/items/6880612178-top-noir-sans-manche?referrer=catalog,0,6880612178,On Sale,,https://images1.vinted.net/t/02_0200c_qfuaVCNsKH9WBXVUUGooF97x/310x430/1755366599.webp?s=3dfe0b2e202408cf7cfbca2e0b1de65477a047ca,1,1,
Tunique rayée,13.3,Zara Basic,XL / IT 46 / EU 42,https://www.vinted.it/items/6880612494-tunique-rayee?referrer=catalog,0,6880612494,On Sale,,https://images1.vinted.net/t/04_01a1d_8KYKMaWjEcmCBb3jgLDFsXhV/310x430/1755366603.webp?s=2d6e21aa962f5e51c7d66468f8b97f4450488b51,1,1,
T-shirt,1.75,TBS,M / IT 42 / EU 38,https://www.vinted.it/items/6880612445-t-shirt?referrer=catalog,0,6880612445,On Sale,,https://images1.vinted.net/t/01_025c5_ZA2RGdnVAP6175srYTQRv2fP/310x430/1755366602.webp?s=501c5f36c7c76b0a7e094bdc3b9189e2b7510fc4,1,1,
Haut kaki,2.8,Primark,S / IT 40 / EU 36,https://www.vinted.it/items/6880612329-haut-kaki?referrer=catalog,0,6880612329,On Sale,,https://images1.vinted.net/t/04_00d9c_AQZi1ebPtLvgAbqABBxhtMUW/310x430/1755366601.webp?s=aebb6a6056cc2c8e45ce60410d257bef397ad978,1,1,
Camiseta canalé Primark,4.9,Primark,XS / IT 38 / EU 34,https://www.vinted.it/items/6880612125-camiseta-canale-primark?referrer=catalog,0,6880612125,On Sale,,https://images1.vinted.net/t/04_00e16_tqdCuUuzBeShrJMKZCRGPMcJ/310x430/1755366598.webp?s=5834611687c7789597700aeb845d5d3b18c38864,1,1,
Tuniek mt L H&M,3.85,H&M,L / IT 44 / EU 40,https://www.vinted.it/items/6880577539-tuniek-mt-l-hm?referrer=catalog,0,6880577539,On Sale,,https://images1.vinted.net/t/04_01284_6RooVjLDaovpFKQrP2gzU74U/310x430/1755366226.webp?s=c2d70e5d89a58b23238b847ed734ed83461bccc7,1,1,
Camiseta Disney Mickey XL,3.85,Disney,XL / IT 46 / EU 42,https://www.vinted.it/items/6880612352-camiseta-disney-mickey-xl?referrer=catalog,0,6880612352,On Sale,,https://images1.vinted.net/t/01_020e4_j8HSCKptw4ykzcYRkc4k1z3j/310x430/1755366601.webp?s=a2a386dc73f1a1f699581e6625ee38580f6e9301,1,1,
lot 2 haut bandeaux,3.85,Shein,S / IT 40 / EU 36,https://www.vinted.it/items/6880612346-lot-2-haut-bandeaux?referrer=catalog,0,6880612346,On Sale,,https://images1.vinted.net/t/04_0216e_LPUtjaSTrBJBJMzL5LYqArTh/310x430/1755366601.webp?s=7f7e22c0274e68e9963537686e46cb0f87089b73,1,1,
Chemise zara,2.8,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880611817-chemise-zara?referrer=catalog,0,6880611817,On Sale,,https://images1.vinted.net/t/01_00f39_KuVbc8BTumURDJbdEcmHDUyp/310x430/1755366595.webp?s=45c8a41bc38bbd5eefba07a72215f9cd2b71c8bd,1,1,
Lot pour femme,3.85,Zara,L / IT 44 / EU 40,https://www.vinted.it/items/6880611760-lot-pour-femme?referrer=catalog,0,6880611760,On Sale,,https://images1.vinted.net/t/04_004cf_Le3XR5nFzXraNmzVpq9hAbeg/310x430/1755366594.webp?s=9119427b9886017953c793fe816f179f775561b0,1,1,
Leichte Bluse mit Blumenmuster,5.95,Stradivarius,S / IT 40 / EU 36,https://www.vinted.it/items/6880611824-leichte-bluse-mit-blumenmuster?referrer=catalog,0,6880611824,On Sale,,https://images1.vinted.net/t/02_01b14_PaKCeyk9WteXxqpEnm2neqJv/310x430/1755366595.webp?s=5f9232b782928e4aac394e436d045e1ed9211118,1,1,
Top canotta con ricami e specchietti,47.95,No brand,XL / IT 46 / EU 42,https://www.vinted.it/items/6880611880-top-canotta-con-ricami-e-specchietti?referrer=catalog,0,6880611880,On Sale,,https://images1.vinted.net/t/01_02121_2H7yf2G4g271ypKanUV5cVtx/310x430/1755366596.webp?s=53dd739dd544dbfd7380253f9b34be2c3ee5dd7a,1,1,
Canotta a rete Diesel ricamato e vintage arancione e blu – originale e trendy,42.7,Diesel,M / IT 42 / EU 38,https://www.vinted.it/items/6870001789-canotta-a-rete-diesel-ricamato-e-vintage-arancione-e-blu-originale-e-trendy?referrer=catalog,0,6870001789,On Sale,,https://images1.vinted.net/t/02_00a40_qKWF9sn19kKWgDneGyPMC4iA/310x430/1755193631.webp?s=24197faebf427b30e5ac0baaf306778cd9315033,1,1,
Blouses,5.95,Valeroc paris,Altro,https://www.vinted.it/items/6880611832-blouses?referrer=catalog,0,6880611832,On Sale,,https://images1.vinted.net/t/01_02658_ktZGnUEc3kZZGfDdLKgTaFRR/310x430/1755366595.webp?s=1d5703ab289708717f7f3c9ea718c2b8b4837f33,1,1,
Camicia bianca 100% lino con collana in omaggio gio,11.2,herzmoden,L / IT 44 / EU 40,https://www.vinted.it/items/6880611844-camicia-bianca-100-lino-con-collana-in-omaggio-gio?referrer=catalog,0,6880611844,On Sale,,https://images1.vinted.net/t/04_00565_srKYoaejvyrapmgUfqegokGX/310x430/1755366595.webp?s=612df0138e3940b4108cb1089246aa9ff8f9008a,1,1,
Chemise à carreaux,13.3,No brand,M / IT 42 / EU 38,https://www.vinted.it/items/6880612111-chemise-a-carreaux?referrer=catalog,0,6880612111,On Sale,,https://images1.vinted.net/t/02_01482_RqbPeztvD5Au9ns2G1RW9h6r/310x430/1755366598.webp?s=7ded8b4bd5b60f3411dbe956ee1f4d95ab605893,1,1,
FBsister,1.75,FB Sister,XS / IT 38 / EU 34,https://www.vinted.it/items/6880601175-fbsister-t-shirt-hellblau-gr-xs?referrer=catalog,0,6880601175,On Sale,,https://images1.vinted.net/t/02_023d0_J1WpH47gPG6w49UZTqUZzL4J/310x430/r3/1755366601.webp?s=f7317228125579b6eeb54be0564ac587a97db720,1,1,
Chemisier,9.1,Juste Elles,S / IT 40 / EU 36,https://www.vinted.it/items/6880611772-chemisier?referrer=catalog,0,6880611772,On Sale,,https://images1.vinted.net/t/03_01370_cMoQ4pRYuJxxvxT9VkPkUd7w/310x430/1755366595.webp?s=95bbb7102bf2896006659d63b03606376d22e469,1,1,
Camisa de encaje,5.95,Local,M / IT 42 / EU 38,https://www.vinted.it/items/6880611777-camisa-de-encaje?referrer=catalog,0,6880611777,On Sale,,https://images1.vinted.net/t/01_020b6_ESWTHsa22bztBZ68HLwFPWjH/310x430/1755366595.webp?s=27d7d5165bbbbb32c4e8fa1edde26c08729a9b32,1,1,
Haut a bretelles beige taille L,2.28,Shein,L / IT 44 / EU 40,https://www.vinted.it/items/6880611786-haut-a-bretelles-beige-taille-l?referrer=catalog,0,6880611786,On Sale,,https://images1.vinted.net/t/04_021dd_1G1at7Wf16zJdQ5i9iAkJ7qJ/310x430/1755366595.webp?s=9cf88e67e4ab0767e168445aaa6caa510e01ffd5,1,1,
Camiseta south park,4.9,South Park,M / IT 42 / EU 38,https://www.vinted.it/items/6880612184-camiseta-south-park?referrer=catalog,0,6880612184,On Sale,,https://images1.vinted.net/t/04_01ff4_B35y3gwAexEyyVwReFM3SGsX/310x430/1755366599.webp?s=f02241794f4920f94e0475d4a776f67492521c2d,1,1,
COS Bluse altrosa Gr. XS,19.6,COS,XS / IT 38 / EU 34,https://www.vinted.it/items/6880611664-cos-bluse-altrosa-gr-xs?referrer=catalog,0,6880611664,On Sale,,https://images1.vinted.net/t/04_010ac_27SgMhhHaad93iTXggig9h1P/310x430/1755366593.webp?s=948de192a34f91e4404dc8a6dce5950cafb4ea0f,1,1,
Off-Shoulder Bluse,3.85,No brand,S / IT 40 / EU 36,https://www.vinted.it/items/6880611700-off-shoulder-bluse?referrer=catalog,0,6880611700,On Sale,,https://images1.vinted.net/t/02_01a72_v9Cr2EPjKxqcrYY9jGjD9dMX/310x430/1755366594.webp?s=55eb88d84881c4aab8040775693d2993b19a0a85,1,1,
Jolie blouse marine,20.65,Cotélac,M / IT 42 / EU 38,https://www.vinted.it/items/6880612040-jolie-blouse-marine?referrer=catalog,0,6880612040,On Sale,,https://images1.vinted.net/t/04_02619_Fkjk19FTAUp2Ri76W4zUyTFi/310x430/1755366597.webp?s=0b0f1ddbfaa324b59c5afed9302ea72d7c9ac505,1,1,
