Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Body manches courtes,3.85,No brand,S / IT 40 / EU 36,https://www.vinted.it/items/6880616274-body-manches-courtes?referrer=catalog,0,6880616274,On Sale,,https://images1.vinted.net/t/03_00986_49g8M3ti7re3KUE3Pc5Mb9bM/310x430/1755366644.webp?s=a6b6e019fee01460e4fb30f2a47e1e7305aef40d,1,1,
T-shirt manches gris chiné Levi’s,3.85,Levi Strauss & Co.,XS / IT 38 / EU 34,https://www.vinted.it/items/6880616108-t-shirt-manches-gris-chine-levis?referrer=catalog,0,6880616108,On Sale,,https://images1.vinted.net/t/03_01291_4iuSBHpvC4sGEim8A4DYbdmz/310x430/1755366642.webp?s=e97e91b20db9ad8c7d41f0c41bf83ff718d84e22,1,1,
Body orange Primark S,5.95,Primark,S / IT 40 / EU 36,https://www.vinted.it/items/6880616048-body-orange-primark-s?referrer=catalog,0,6880616048,On Sale,,https://images1.vinted.net/t/02_01b96_2PKvcsf5toTHnGq7ZgRbAbyr/310x430/1755366641.webp?s=821b5d9b140d22ce6b349e6f7d7be4e9cb1b3fd0,1,1,
Tshirt noir,3.85,H&M,XS / IT 38 / EU 34,https://www.vinted.it/items/6880616008-tshirt-noir?referrer=catalog,0,6880616008,On Sale,,https://images1.vinted.net/t/04_00d6b_RJ1koSJBgWk4GoD2iPfitYuK/310x430/1755366641.webp?s=312cec499f1d715ae765c01d7bcd8b3a30a3de48,1,1,
Blouse taille 46,15.4,Grain de Malice,XXXL / IT 50 / EU 46,https://www.vinted.it/items/6880616128-blouse-taille-46?referrer=catalog,0,6880616128,On Sale,,https://images1.vinted.net/t/03_0132b_oT2QtiTpHzujx3EmLF3P76jp/310x430/1755366642.webp?s=760fee99af3787a32349beba4108d0143333142d,1,1,
Schwarz-Weiß Kariertes Baby Doll Top mit Schleifen-Detail und Rüschen,3.85,LC Waikiki,L / IT 44 / EU 40,https://www.vinted.it/items/6880616112-schwarz-weiss-kariertes-baby-doll-top-mit-schleifen-detail-und-ruschen?referrer=catalog,0,6880616112,On Sale,,https://images1.vinted.net/t/03_015bb_ZzGCnQzvtszjGgdkY1zZjPdF/310x430/1755366642.webp?s=8f0d4c0aca42f23cf471e228b30111b1de1f710d,1,1,
Gilet fin,5.95,Petit Bateau,L / IT 44 / EU 40,https://www.vinted.it/items/6880615806-gilet-fin?referrer=catalog,0,6880615806,On Sale,,https://images1.vinted.net/t/01_016c9_jYdePQqbfR2QxuyCLEQtSuhT/310x430/1755366639.webp?s=98c077bbb8dd035bfcb711bb431efda29ea814a1,1,1,
Body Blusa Castanho Zara - Elegante e Novo,8.05,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880615551-body-blusa-castanho-zara-elegante-e-novo?referrer=catalog,0,6880615551,On Sale,,https://images1.vinted.net/t/01_00f1d_fG987X6tnSmS4VKCgjrT8K8Q/310x430/1755366636.webp?s=548d6bd12d4c2cc38098ff89ab221d969c120acd,1,1,
Haut en maille,4.9,Zara,L / IT 44 / EU 40,https://www.vinted.it/items/6880615645-haut-en-maille?referrer=catalog,0,6880615645,On Sale,,https://images1.vinted.net/t/04_01422_mTxangHrp7abEnCvYx4bBp4H/310x430/1755366637.webp?s=016a00994ab221747ddda835b33e44ed797ce8a8,1,1,
Open shoulders blouse 38/M h&m,4.38,H&M,S / IT 40 / EU 36,https://www.vinted.it/items/6880615726-open-shoulders-blouse-38m-hm?referrer=catalog,0,6880615726,On Sale,,https://images1.vinted.net/t/03_01d49_4d9AG6sLcCmB38wCroUYVbEV/310x430/1755366638.webp?s=6acbfa8630113cf52bc43ed428decaff94adcacc,1,1,
Haut très orné et légèrement extensible leur penser en viscose,7.95,xinpanrong,S / IT 40 / EU 36,https://www.vinted.it/items/6880616056-haut-tres-orne-et-legerement-extensible-leur-penser-en-viscose?referrer=catalog,0,6880616056,On Sale,,https://images1.vinted.net/t/04_01d61_r38oeUi3AgU1QEm8cNGZMnfj/310x430/1755366641.webp?s=2dcb350dcf269025914481586d1aa0d52e1cd936,1,1,
