Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Bitkenstock Kyoto Gr.41 normale Weite,115.15,Birkenstock,41,https://www.vinted.it/items/6537935790-bitkenstock-kyoto-gr41-normale-weite?referrer=catalog,2,6537935790,,18/06/2025 21:01:49,,1,10
Claquettes H noire à clous,9.1,ERYNN,40,https://www.vinted.it/items/6537935666-claquettes-h-noire-a-clous?referrer=catalog,0,6537935666,,18/06/2025 21:01:49,,1,10
Warme sloffen,3.33,geen idee,37,https://www.vinted.it/items/6537935138-warme-sloffen?referrer=catalog,1,6537935138,,18/06/2025 21:01:49,,1,10
Chaussure été,5.95,No brand,38,https://www.vinted.it/items/6537934986-chaussure-ete?referrer=catalog,3,6537934986,,18/06/2025 21:01:49,,1,10
Sandalias Brownie,53.2,Brownie,38,https://www.vinted.it/items/6537932884-sandalias-brownie?referrer=catalog,1,6537932884,,18/06/2025 21:01:49,,1,10
Chaussure noire,21.7,Merry Scott,38,https://www.vinted.it/items/6537934413-chaussure-noire?referrer=catalog,0,6537934413,,18/06/2025 21:01:49,,1,10
ON Cloudhero waterproof. Nieuw! 37.5!,79.45,On,37.5,https://www.vinted.it/items/6537933972-on-cloudhero-waterproof-nieuw-375?referrer=catalog,1,6537933972,On Sale,,,1,10
Mocassini Miu Miu,816.0,Miu Miu,37.5,https://www.vinted.it/items/6537933744-mocassini-miu-miu?referrer=catalog,3,6537933744,On Sale,,,1,10
Clogs grün,30.1,No brand,41,https://www.vinted.it/items/6537734690-clogs-grun-absatz-gelb-bunt?referrer=catalog,0,6537734690,On Sale,,,1,10
Ladies high heel sandals,21.7,GU,37,https://www.vinted.it/items/6537933758-ladies-high-heel-sandals?referrer=catalog,0,6537933758,On Sale,,,1,10
Casco de moto mujer,53.2,moto,40,https://www.vinted.it/items/6537933614-casco-de-moto-mujer?referrer=catalog,0,6537933614,On Sale,,,1,10
Sandale beige,16.45,Lady Glory,36,https://www.vinted.it/items/6537933273-sandale-beige?referrer=catalog,1,6537933273,On Sale,,,1,10
Mocassin,11.2,Jennyfer,37,https://www.vinted.it/items/6537933203-mocassin?referrer=catalog,0,6537933203,On Sale,,,1,10
Leuke laarsjes,21.7,Marco Tozzi,38,https://www.vinted.it/items/6537932939-leuke-laarsjes?referrer=catalog,0,6537932939,On Sale,,,1,10
Woman sandals available as seen very beautiful and good quality,34.3,Sandals,42,https://www.vinted.it/items/6537932937-woman-sandals-available-as-seen-very-beautiful-and-good-quality?referrer=catalog,0,6537932937,On Sale,,,1,10
Basket Nike alir fiorce One 1,34.3,Nike,36,https://www.vinted.it/items/6537933080-basket-nike-alir-fiorce-one-1?referrer=catalog,1,6537933080,On Sale,,,1,10
Huarache Nike,11.2,Nike,36,https://www.vinted.it/items/6537932614-huarache-nike?referrer=catalog,1,6537932614,On Sale,,,1,10
Sandalias con plataforma,19.6,Lo!,37,https://www.vinted.it/items/6537932435-sandalias-con-plataforma?referrer=catalog,0,6537932435,On Sale,,,1,10
Sandalo camel,19.6,No brand,39,https://www.vinted.it/items/6537932392-sandalo-camel?referrer=catalog,0,6537932392,On Sale,,,1,10
Claquettes neuves pointure 36,1.75,No brand,36,https://www.vinted.it/items/6537932047-claquettes-neuves-pointure-36?referrer=catalog,1,6537932047,On Sale,,,1,10
Sandalias,16.45,Primark,39,https://www.vinted.it/items/6537931691-sandalias?referrer=catalog,0,6537931691,On Sale,,,1,10
Espadrilles,21.7,La Maison de l'Espadrille,38,https://www.vinted.it/items/6537931620-espadrilles-leopard?referrer=catalog,1,6537931620,On Sale,,,1,10
Nike Jordan MVP. Talla 44,84.07,Nike,44.5,https://www.vinted.it/items/6537931224-nike-jordan-mvp-talla-445?referrer=catalog,0,6537931224,On Sale,,,1,10
Botines negros y cuero,21.7,D&P,40,https://www.vinted.it/items/6537931031-botines-negros-y-cuero?referrer=catalog,0,6537931031,On Sale,,,1,10
Hakken dames maat 39,37.45,Medicus,39,https://www.vinted.it/items/6537930547-hakken-dames-maat-39-medicus-nieuw-mooi?referrer=catalog,0,6537930547,On Sale,,,1,10
Adidas Gazelle “Blue Lucid Pink” - Size 38,89.95,adidas,38,https://www.vinted.it/items/6537930288-adidas-gazelle-blue-lucid-pink-size-38?referrer=catalog,0,6537930288,On Sale,,,1,10
Bailarinas negras h&m,7.0,H&M,40,https://www.vinted.it/items/6537930510-bailarinas-negras-hm?referrer=catalog,0,6537930510,On Sale,,,1,10
Nike court Rosa,26.95,Nike,38.5,https://www.vinted.it/items/6537930329-nike-court-rosa?referrer=catalog,4,6537930329,On Sale,,,1,10
Nike Turnschuhe Schnürschuhe Damen Sneaker,30.1,Nike,39,https://www.vinted.it/items/6537930379-nike-turnschuhe-schnurschuhe-damen-sneaker?referrer=catalog,0,6537930379,On Sale,,,1,10
Birkenstock femme,95.2,Birkenstock,37,https://www.vinted.it/items/6537929849-birkenstock-femme?referrer=catalog,1,6537929849,On Sale,,,1,10
Converse Chuck 70 jaunes montantes,42.7,Converse,36.5,https://www.vinted.it/items/6537930043-converse-chuck-70-jaunes-montantes?referrer=catalog,0,6537930043,On Sale,,,1,10
Adidas gazelle nuevas,35.35,Gazelle,38,https://www.vinted.it/items/6537929772-adidas-gazelle-nuevas?referrer=catalog,2,6537929772,On Sale,,,1,10
Calosce,5.95,Ottimo,40,https://www.vinted.it/items/6537929355-calosce?referrer=catalog,0,6537929355,On Sale,,,1,10
Alpargatas Car shoe,21.7,Car Shoe,37,https://www.vinted.it/items/6537929228-alpargatas-car-shoe?referrer=catalog,1,6537929228,On Sale,,,1,10
Unisa Glitzer Sandalen,42.7,Unisa,39,https://www.vinted.it/items/6537929285-unisa-glitzer-sandalen?referrer=catalog,1,6537929285,On Sale,,,1,10
Donna Carolina,19.08,Donna Carolina,41,https://www.vinted.it/items/6537928953-donna-carolina?referrer=catalog,0,6537928953,On Sale,,,1,10
Palladium,63.7,Palladium,41,https://www.vinted.it/items/6537928453-palladium?referrer=catalog,0,6537928453,On Sale,,,1,10
Adidas Spezial neuves,74.1,adidas,38,https://www.vinted.it/items/6537927074-adidas-spezial-neuves?referrer=catalog,1,6537927074,On Sale,,,1,10
Havaianas in Pink Größe 41 neu,8.05,Havaianas,41,https://www.vinted.it/items/6537928536-havaianas-in-pink-grosse-41-neu?referrer=catalog,5,6537928536,On Sale,,,1,10
Chaussure été,5.95,Camaïeu,37,https://www.vinted.it/items/6537927735-chaussure-ete?referrer=catalog,2,6537927735,On Sale,,,1,10
Adidas x Bad Bunny Ballerina,126.7,adidas,38,https://www.vinted.it/items/6537927731-adidas-x-bad-bunny-ballerina?referrer=catalog,0,6537927731,On Sale,,,1,10
Ankle Boots by La Bottine Souriante,16.45,La Bottine Souriante,38,https://www.vinted.it/items/6537927321-ankle-boots-by-la-bottine-souriante?referrer=catalog,0,6537927321,On Sale,,,1,10
Spezial,59.4,adidas,39,https://www.vinted.it/items/6537927375-spezial?referrer=catalog,0,6537927375,On Sale,,,1,10
Adidas Schuhe grau sogut wie neu,26.95,adidas,38,https://www.vinted.it/items/6537927406-adidas-schuhe-grau-sogut-wie-neu?referrer=catalog,2,6537927406,On Sale,,,1,10
Zapato mules Zara beige,21.7,Zara,38,https://www.vinted.it/items/6537927515-zapato-mules-zara-beige?referrer=catalog,2,6537927515,On Sale,,,1,10
Sandale neuve,11.2,No brand,41,https://www.vinted.it/items/6537927370-sandale-neuve?referrer=catalog,1,6537927370,On Sale,,,1,10
Nike Air Force 1,34.62,Nike,38,https://www.vinted.it/items/6537916603-nike-air-force-1?referrer=catalog,0,6537916603,On Sale,,,1,10
Tacones de Raid,24.85,Raid,39,https://www.vinted.it/items/6537927282-tacones-de-raid?referrer=catalog,0,6537927282,On Sale,,,1,10
Hübsche Ballerinas mit Strass Steinchen gr. 40,16.45,Mango,40,https://www.vinted.it/items/6537927219-hubsche-ballerinas-mit-strass-steinchen-gr-40?referrer=catalog,9,6537927219,On Sale,,,1,10
Sandalias,11.2,Primark,36,https://www.vinted.it/items/6537927091-sandalias?referrer=catalog,0,6537927091,On Sale,,,1,10
Ballerine Burberry stupende vera pelle,368.2,Burberry,39.5,https://www.vinted.it/items/6537926959-ballerine-burberry-stupende-vera-pelle?referrer=catalog,1,6537926959,On Sale,,,1,10
Baskets pépé jeans,42.7,Pepe Jeans,36,https://www.vinted.it/items/6537926882-baskets-pepe-jeans?referrer=catalog,0,6537926882,On Sale,,,1,10
Chaussures à talons de mariage,16.45,H&M,37,https://www.vinted.it/items/6537926897-chaussures-a-talons-de-mariage?referrer=catalog,1,6537926897,On Sale,,,1,10
vends sandales camel neuves t.39,26.95,LH by La Halle,39,https://www.vinted.it/items/6537926268-vends-sandales-camel-neuves-t39?referrer=catalog,0,6537926268,On Sale,,,1,10
Stöckelschuhe,37.45,Girotti,38,https://www.vinted.it/items/6537925929-stockelschuhe?referrer=catalog,0,6537925929,On Sale,,,1,10
sell  shoes,16.45,No brand,36,https://www.vinted.it/items/6537906421-sell-shoes?referrer=catalog,0,6537906421,On Sale,,,1,10
🌸 basket avec velcro légère Style baby P38,8.05,Fashion,38,https://www.vinted.it/items/6537925901-basket-avec-velcro-legere-style-baby-p38?referrer=catalog,2,6537925901,On Sale,,,1,10
Nike Air Force 1,34.31,Nike,40,https://www.vinted.it/items/6537921714-nike-air-force-1?referrer=catalog,1,6537921714,On Sale,,,1,10
Asics Gel-NYC Cream Pink,105.69,Asics,39,https://www.vinted.it/items/6537881219-asics-gel-nyc-cream-pink?referrer=catalog,2,6537881219,On Sale,,,1,10
Clogs von Antonio Gr 41 - Neu!,16.45,Antonio,41,https://www.vinted.it/items/6537925236-clogs-von-antonio-gr-41-neu?referrer=catalog,0,6537925236,On Sale,,,1,10
Chaussures haute,5.95,Ideal shoes,36,https://www.vinted.it/items/6537925093-chaussures-haute?referrer=catalog,1,6537925093,On Sale,,,1,10
Sandales noires rouge blanc kickers 41,79.45,Kickers,41,https://www.vinted.it/items/6537924995-sandales-noires-rouge-blanc-kickers-41?referrer=catalog,0,6537924995,On Sale,,,1,10
Bottine texto,53.2,Texto,38,https://www.vinted.it/items/6537924944-bottine-texto?referrer=catalog,0,6537924944,On Sale,,,1,10
Baskets Bull Boxer,21.7,Bullboxer,38,https://www.vinted.it/items/6537924809-baskets-bull-boxer?referrer=catalog,0,6537924809,On Sale,,,1,10
Gazelle,55.3,Gazelle,39.5,https://www.vinted.it/items/6537924604-gazelle?referrer=catalog,0,6537924604,On Sale,,,1,10
