Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,NegFlags,HasNegFlag,BlockKey,EmbedText,ProductId,VariantText,VariantId_local,VariantId,CoreFracUsed,VariantThresholdUsed,VariantPriceWeightUsed,ProductClusterSize,ProductCanonicalName,VariantClusterSize,_PriceNum,DealScore,DealNotes
Final Fantasy VII Remake - Deluxe Edition (PS4),79.45,No brand,0,https://www.vinted.it/items/8116657812-final-fantasy-vii-remake-deluxe-edition-ps4?referrer=catalog,0,8116657812,On Sale,,,https://images1.vinted.net/t/04_005fd_ty1qDWEuS6urWxmhEh2g9sbP/310x430/1770419074.webp?s=14502042d3bfc18e7ede0d529d759717a99b8ba2,1,3,final fantasy vii remake deluxe edition ps4,no brand,,False,no brand__toks__final-fantasy,final fantasy vii remake deluxe edition ps4 | no brand | 0,193,vii remake deluxe ps4,0,217,0.78,0.36,0.25,7,final fantasy edition ps4 remake deluxe vii precintado ix ps1,4,79.45,5.395925045013428,
PlayStation 4,121.45,PlayStation,0,https://www.vinted.it/items/8115296771-playstation-4?referrer=catalog,0,8115296771,On Sale,,,https://images1.vinted.net/t/05_0198a_b9jUgAEN1gG5T8xKSUwzGtMo/310x430/1770403740.webp?s=538265cae7b4997f0e80f9fe02b8c92f002ed6eb,1,3,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,121.45,2.3578312397003174,
PlayStation 4,131.95,PlayStation,0,https://www.vinted.it/items/8094286155-playstation-4?referrer=catalog,1,8094286155,On Sale,,,https://images1.vinted.net/t/06_00a91_5PCqRTEAo7EmZ2FDp6W5WTsX/310x430/1770146742.webp?s=c26a0ef7b1e047145ea5a3c5b2eb25b37c4b5932,1,9,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,131.95,1.6839818954467773,
PlayStation 4,131.95,PlayStation,0,https://www.vinted.it/items/8091511272-playstation-4?referrer=catalog,0,8091511272,On Sale,,,https://images1.vinted.net/t/05_01902_CcWAKyfnsjJGqzEufZSVK5C9/310x430/1770127095.webp?s=3600385e8543f4e0cfca2423376cc52f88db1ad7,1,9,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,131.95,1.6839818954467773,
Volante y pedales Logitech G29,189.7,Logitech,0,https://www.vinted.it/items/8104644228-volante-y-pedales-logitech-g29?referrer=catalog,0,8104644228,On Sale,,,https://images1.vinted.net/t/06_00b68_psJNdH3Nd2gNayDfveMda8SW/310x430/1770292103.webp?s=27edc4245264ce43a993e482c09389c2a85ed2bb,1,6,volante y pedales logitech g29,logitech,,False,logitech__codes__g29,volante y pedales logitech g29 | logitech | 0,49,volante pedales,2,55,0.78,0.31,0.45,14,g29 logitech volante volant pedales de vitesse ps4 boite playstation,6,189.7,1.2364592552185059,
PlayStation 4,74.2,PlayStation,0,https://www.vinted.it/items/8109741457-playstation-4?referrer=catalog,2,8109741457,On Sale,,,https://images1.vinted.net/t/05_00536_toiqc4hezyH86hpiAvvWaDqs/310x430/1770340143.webp?s=3adddf1c5a903741c5a6fea6b49fd9ae7ee67c09,1,5,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,1,554,0.6,0.3,0.55,15,playstation,6,74.2,1.1241511106491089,
Volante logitech G29,200.2,Logitech,0,https://www.vinted.it/items/8101546706-volante-logitech-g29?referrer=catalog,1,8101546706,On Sale,,,https://images1.vinted.net/t/05_00475_RrGQMxVYVqMuZ7qA5DzTPDox/310x430/1770233390.webp?s=daccb5495ee5df723988f4b8d208f9f555869461,1,7,volante logitech g29,logitech,,False,logitech__codes__g29,volante logitech g29 | logitech | 0,49,volante,2,55,0.78,0.31,0.45,14,g29 logitech volante volant pedales de vitesse ps4 boite playstation,6,200.2,1.0116289854049683,
FIFA 26 PS4,42.7,No brand,0,https://www.vinted.it/items/8112243510-fifa-26-ps4?referrer=catalog,17,8112243510,On Sale,,,https://images1.vinted.net/t/01_00238_P3jYrdMhPmk95bfnory16wGG/310x430/1770383841.webp?s=fd43d11f6665478efa435bfb3d1c2ff01afb06d2,1,4,fifa 26 ps4,no brand,,False,no brand__codes__26,fifa 26 ps4 | no brand | 0,88,ps4,0,102,0.7,0.33,0.35,10,26 fifa ps4 fc playstation jeux ps neuf ea sports,4,42.7,0.6744906902313232,
FC 26 - PS4,42.7,No brand,0,https://www.vinted.it/items/8092580590-fc-26-ps4?referrer=catalog,1,8092580590,On Sale,,,https://images1.vinted.net/t/06_0033f_hJRm36XGPube6LxELpTwNeQS/310x430/1770134408.webp?s=86f579343e61e721480beb399957f99ff6f0bedb,1,9,fc 26 ps4,no brand,,False,no brand__codes__26,fc 26 ps4 | no brand | 0,88,fc ps4,0,102,0.7,0.33,0.35,10,26 fifa ps4 fc playstation jeux ps neuf ea sports,4,42.7,0.6744906902313232,
PlayStation 4,147.7,PlayStation,0,https://www.vinted.it/items/8112677923-playstation-4?referrer=catalog,0,8112677923,On Sale,,,https://images1.vinted.net/t/01_002df_AdXEoAALaVoLjAV1RBRA9hsP/310x430/1770386875.webp?s=f8cb3832b44c22e0ce83aeb2312845a6ced5a55e,1,4,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,147.7,0.6732078790664673,
Volante Logitech G29,231.7,Logitech,0,https://www.vinted.it/items/8109742776-volante-logitech-g29?referrer=catalog,0,8109742776,On Sale,,,https://images1.vinted.net/t/05_01c7f_6jyBJqvmmxkZrQJR929VAk87/310x430/1770340304.webp?s=dac620b69d3836be7d782730c7b55c6ae6414c88,1,5,volante logitech g29,logitech,,False,logitech__codes__g29,volante logitech g29 | logitech | 0,49,volante,2,55,0.78,0.31,0.45,14,g29 logitech volante volant pedales de vitesse ps4 boite playstation,6,231.7,0.33713844418525696,
