Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,NegFlags,HasNegFlag,BlockKey,EmbedText,ProductId,ClusterSize,CanonicalName
G29 nuovo 2 anni garanzia Ps5 Ps4 Pc +2 giochi di guida Ps5,189.7,PlayStation,0,https://www.vinted.it/items/8124096303-g29-nuovo-2-anni-garanzia-ps5-ps4-pc-2-giochi-di-guida-ps5?referrer=catalog,0,8124096303,On Sale,,,https://images1.vinted.net/t/06_00332_F9cqCa6g5An9SGi2XYTqXsQc/310x430/1770495931.webp?s=b0b9489d5951efe5aa4afbd5a85399f28b2f6af6,1,1,g29 nuovo 2 anni garanzia ps5 ps4 pc 2 giochi di guida ps5,playstation,,False,playstation__codes__g29,g29 nuovo 2 anni garanzia ps5 ps4 pc 2 giochi di guida ps5 | playstation | 0,467,1,ps5 g29 nuovo anni garanzia ps4 pc giochi
Casque virtuel ps4,74.2,PlayStation,0,https://www.vinted.it/items/8124082354-casque-virtuel-ps4?referrer=catalog,1,8124082354,On Sale,,,https://images1.vinted.net/t/05_0088d_BHP4ReYSrtxKVVxDx8XhJFqa/310x430/1770495801.webp?s=e686a811056616018f1247defb255c46b8248add,1,1,casque virtuel ps4,playstation,,False,playstation__toks__casque-virtuel,casque virtuel ps4 | playstation | 0,470,1,casque virtuel ps4
Play 4 fat,89.95,Sony,0,https://www.vinted.it/items/8124068336-play-4-fat?referrer=catalog,0,8124068336,On Sale,,,https://images1.vinted.net/t/06_01ee5_LRpufy7m21Ua6r7S3KNrM3dN/310x430/1770495675.webp?s=2ffe03e07c6f3fbeaea8605ff731c76d2c7b1f20,1,1,play 4 fat,sony,,False,sony__toks__play-fat,play 4 fat | sony | 0,637,1,play fat
Manette PS4 neuve,53.2,PlayStation,0,https://www.vinted.it/items/8124013531-manette-ps4-neuve?referrer=catalog,0,8124013531,On Sale,,,https://images1.vinted.net/t/06_01b15_HaN2aTVQCP9jzTwtUcsFp3Fr/310x430/1770495174.webp?s=588c7ddff3541ca1e23be59402ab1b915097d742,1,1,manette ps4 neuve,playstation,,False,playstation__toks__manette-ps4,manette ps4 neuve | playstation | 0,497,1,manette ps4 neuve
Jeu PS4 Atelier Ryza 3 - Neuf sous blister,89.95,No brand,0,https://www.vinted.it/items/8122311144-jeu-ps4-atelier-ryza-3-neuf-sous-blister?referrer=catalog,0,8122311144,On Sale,,,https://images1.vinted.net/t/03_02116_dB7H4B6KzhTzo6s5WQyDG3mc/310x430/1770482758.webp?s=c3af853bba78c12089d2413c90bc597551945e05,1,1,jeu ps4 atelier ryza 3 neuf sous blister,no brand,,False,no brand__toks__jeu-ps4,jeu ps4 atelier ryza 3 neuf sous blister | no brand | 0,234,4,jeu ps4 neuf sous blister atelier ryza lydie
Resident Evil 7 Nuovo Italiano PS4,42.7,No brand,0,https://www.vinted.it/items/8123935708-resident-evil-7-nuovo-italiano-ps4?referrer=catalog,0,8123935708,On Sale,,,https://images1.vinted.net/t/05_0245c_z9ysVn24YZMScFZMJT9RGvMZ/310x430/1770494475.webp?s=7d8460781ed62b6ea54231c9a42e32de064bacc8,1,1,resident evil 7 nuovo italiano ps4,no brand,,False,no brand__toks__resident-evil,resident evil 7 nuovo italiano ps4 | no brand | 0,353,4,resident evil ps4 nuovo italiano blister sous boitier
Manette de casque réalité virtuelle,68.95,Sony,0,https://www.vinted.it/items/8123930332-manette-de-casque-realite-virtuelle?referrer=catalog,0,8123930332,On Sale,,,https://images1.vinted.net/t/05_001b0_J4nsbAQon8y6uYpnpc8fUKk7/310x430/1770494428.webp?s=29ed8717dfbae89fbe4186a931532dfaecee46c0,1,1,manette de casque realite virtuelle,sony,,False,sony__toks__manette-de,manette de casque realite virtuelle | sony | 0,628,1,manette de casque realite virtuelle
PS4 avec jeux,105.7,No brand,0,https://www.vinted.it/items/8123892320-ps4-avec-jeux?referrer=catalog,0,8123892320,On Sale,,,https://images1.vinted.net/t/05_016aa_AqX3FFbAkMfPT9wtqpyzGTq3/310x430/1770494089.webp?s=89f0a3fd9b9fe9c55258e6fe0b82f272298c5e6d,1,1,ps4 avec jeux,no brand,,False,no brand__toks__ps4-avec,ps4 avec jeux | no brand | 0,328,1,ps4 avec jeux
A way out - PS4,53.2,No brand,0,https://www.vinted.it/items/8123873582-a-way-out-ps4?referrer=catalog,1,8123873582,On Sale,,,https://images1.vinted.net/t/06_0055f_o1Mbr5SuFjDnZToLYatTSRC5/310x430/1770493926.webp?s=12884c20c29b18eddf2d829e06762e4eaba54dac,1,1,a way out ps4,no brand,,False,no brand__toks__way-out,a way out ps4 | no brand | 0,438,1,way out ps4
Bloodstained Curse of the Moon LE Nintendo Switch,61.6,No brand,0,https://www.vinted.it/items/8123831126-bloodstained-curse-of-the-moon-le-nintendo-switch?referrer=catalog,0,8123831126,On Sale,,,https://images1.vinted.net/t/05_00630_CpfjmnEp5R9FH8ynp9avpztm/310x430/1770493559.webp?s=bea11442194865065301e77d1aa8f4cb4f08d2a6,1,1,bloodstained curse of the moon le nintendo switch,no brand,,False,no brand__toks__bloodstained-curse,bloodstained curse of the moon le nintendo switch | no brand | 0,122,7,bloodstained curse of the moon nintendo switch ps4
N Like a Dragon Gaiden Man Who Erased His Name 4,45.85,No brand,0,https://www.vinted.it/items/8123815533-n-like-a-dragon-gaiden-man-who-erased-his-name-4?referrer=catalog,0,8123815533,On Sale,,,https://images1.vinted.net/t/01_01cb2_iBUffqTJ7ZysHSteUGsBkgHB/310x430/1770493421.webp?s=0f93180158203e35c8a11a020292f9b372c3f957,1,1,n like a dragon gaiden man who erased his name 4,no brand,like,True,no brand__toks__like-dragon,n like a dragon gaiden man who erased his name 4 | no brand | 0,265,1,like dragon gaiden man who erased his name
