ProductId,CanonicalName,BrandMode,Count,PriceMedian,PriceMin,PriceMax,NegFlagRate,RepresentativeTitle,RepresentativeLink,BlockKey,Embedder,ProductThreshold
501,playstation,PlayStation,15,131.95,74.2,226.45,0.0,Playstation 4,https://www.vinted.it/items/8116742077-playstation-4?referrer=catalog,playstation__toks__playstation,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
49,g29 logitech volante volant pedales de vitesse ps4 boite playstation,Logitech,14,189.7,58.45,336.7,0.0,Volante Logitech G29,https://www.vinted.it/items/8109742776-volante-logitech-g29?referrer=catalog,logitech__codes__g29,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
88,26 fifa ps4 fc playstation jeux ps neuf ea sports,No brand,10,53.2,42.7,63.7,0.0,FIFA 26 PS4,https://www.vinted.it/items/8112243510-fifa-26-ps4?referrer=catalog,no brand__codes__26,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
48,logitech g29 ps4 ps5 pc driving force volant levier de,Logitech,9,210.7,168.7,252.7,0.0,Logitech G29 Driving Force Volante para PS5/PS4/PS3/PC,https://www.vinted.it/items/8099229806-logitech-g29-driving-force-volante-para-ps5ps4ps3pc?referrer=catalog,logitech__codes__g29,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
121,bloodstained curse of the moon nintendo switch ps4 chronicles le,No brand,7,47.95,45.85,105.7,0.0,Bloodstained Curse of the Moon - Nintendo Switch,https://www.vinted.it/items/8114466920-bloodstained-curse-of-the-moon-nintendo-switch?referrer=catalog,no brand__toks__bloodstained-curse,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
193,final fantasy edition ps4 remake deluxe vii precintado ix ps1,No brand,7,100.45,42.7,263.2,0.0,Final Fantasy VII Remake - Deluxe Edition (PS4),https://www.vinted.it/items/8116657812-final-fantasy-vii-remake-deluxe-edition-ps4?referrer=catalog,no brand__toks__final-fantasy,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
50,logitech g923 volante racing wheel pedali ps4 ps5 pc se,Logitech,7,231.7,158.2,284.2,0.0,Volante Logitech G923 SE,https://www.vinted.it/items/8120854348-volante-logitech-g923-se?referrer=catalog,logitech__codes__g923,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
519,playstation slim minecraft controller 1000gb gioco 500go,PlayStation,6,121.45,100.45,189.7,0.0,Playstation 4 Slim,https://www.vinted.it/items/8120270549-playstation-4-slim?referrer=catalog,playstation__toks__playstation-slim,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
267,lot de jeux ps4 playstation neufs sous blister gow neuf,No brand,5,47.95,47.94,158.2,0.0,Lot de jeux ps4,https://www.vinted.it/items/8114595330-lot-de-jeux-ps4?referrer=catalog,no brand__toks__lot-de,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
401,the last ps4 guardian of edition us2 limited coleccionista precintado,No brand,5,63.7,42.7,131.95,0.0,The Last Guardian PS4,https://www.vinted.it/items/8121865106-the-last-guardian-ps4?referrer=catalog,no brand__toks__the-last,sentence-transformers:paraphrase-multilingual-MiniLM-L12-v2,0.24
