ProductId,Autotuned,n,VariantsFound,VariantSilhouette,Notes
49,True,14,6,0.47052186727523804,"{'n': 14, 'price_median': 189.6999969482422, 'price_mad': 36.75, 'spread_ratio_mad_over_median': 0.19372694038591304, 'title_uniformity': 0.4869047619047619, 'variant_empty_rate_initial': 0.07142857142857142, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.31, 'autotuned_price_weight': 0.45}"
50,True,7,6,0.05814081430435181,"{'n': 7, 'price_median': 231.6999969482422, 'price_mad': 31.500015258789062, 'spread_ratio_mad_over_median': 0.1359517292778628, 'title_uniformity': 0.45, 'variant_empty_rate_initial': 0.14285714285714285, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.33, 'autotuned_price_weight': 0.35}"
88,True,10,5,0.4040513038635254,"{'n': 10, 'price_median': 53.20000076293945, 'price_mad': 5.25, 'spread_ratio_mad_over_median': 0.09868420911108879, 'title_uniformity': 0.5435714285714285, 'variant_empty_rate_initial': 0.2, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.33, 'autotuned_price_weight': 0.35}"
519,True,6,5,0.314088374376297,"{'n': 6, 'price_median': 121.44999694824219, 'price_mad': 15.75, 'spread_ratio_mad_over_median': 0.1296830003767897, 'title_uniformity': 0.75, 'variant_empty_rate_initial': 0.3333333333333333, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.32, 'autotuned_price_weight': 0.44999999999999996}"
193,True,7,4,0.5437598824501038,"{'n': 7, 'price_median': 100.44999694824219, 'price_mad': 5.25, 'spread_ratio_mad_over_median': 0.05226480995021943, 'title_uniformity': 0.501360544217687, 'variant_empty_rate_initial': 0.0, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.36, 'autotuned_price_weight': 0.25}"
267,True,5,4,0.4000000059604645,"{'n': 5, 'price_median': 47.95000076293945, 'price_mad': 0.01000213623046875, 'spread_ratio_mad_over_median': 0.00020859512140403134, 'title_uniformity': 0.7342857142857143, 'variant_empty_rate_initial': 0.4, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.35, 'autotuned_price_weight': 0.35}"
401,True,5,4,0.29106253385543823,"{'n': 5, 'price_median': 63.70000076293945, 'price_mad': 21.0, 'spread_ratio_mad_over_median': 0.3296703257218446, 'title_uniformity': 0.5507142857142857, 'variant_empty_rate_initial': 0.0, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.3, 'autotuned_price_weight': 0.55}"
231,True,4,4,,"{'n': 4, 'price_median': 221.1999969482422, 'price_mad': 21.0, 'spread_ratio_mad_over_median': 0.09493671017054181, 'title_uniformity': 0.717032967032967, 'variant_empty_rate_initial': 0.0, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.33, 'autotuned_price_weight': 0.35}"
349,True,4,4,,"{'n': 4, 'price_median': 47.95000076293945, 'price_mad': 5.25, 'spread_ratio_mad_over_median': 0.10948904935279426, 'title_uniformity': 0.5770833333333334, 'variant_empty_rate_initial': 0.25, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.33, 'autotuned_price_weight': 0.35}"
661,True,4,4,,"{'n': 4, 'price_median': 105.69999694824219, 'price_mad': 26.77499771118164, 'spread_ratio_mad_over_median': 0.2533112439378071, 'title_uniformity': 0.5047619047619047, 'variant_empty_rate_initial': 0.25, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.3, 'autotuned_price_weight': 0.55}"
673,True,4,4,,"{'n': 4, 'price_median': 124.07499694824219, 'price_mad': 28.875, 'spread_ratio_mad_over_median': 0.23272214958864912, 'title_uniformity': 0.43712121212121213, 'variant_empty_rate_initial': 0.0, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.3, 'autotuned_price_weight': 0.55}"
678,True,4,4,,"{'n': 4, 'price_median': 58.45000076293945, 'price_mad': 7.875, 'spread_ratio_mad_over_median': 0.13473053716353733, 'title_uniformity': 0.6291666666666667, 'variant_empty_rate_initial': 0.25, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.33, 'autotuned_price_weight': 0.35}"
121,True,7,3,0.8365540504455566,"{'n': 7, 'price_median': 47.95000076293945, 'price_mad': 2.1000022888183594, 'spread_ratio_mad_over_median': 0.04379566747455509, 'title_uniformity': 0.7355442176870749, 'variant_empty_rate_initial': 0.0, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.35, 'autotuned_price_weight': 0.35}"
272,True,5,3,0.6840066313743591,"{'n': 5, 'price_median': 79.44999694824219, 'price_mad': 26.150001525878906, 'spread_ratio_mad_over_median': 0.32913785437794746, 'title_uniformity': 0.7, 'variant_empty_rate_initial': 0.4, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.3, 'autotuned_price_weight': 0.55}"
48,True,9,3,0.536693274974823,"{'n': 9, 'price_median': 210.6999969482422, 'price_mad': 0.0, 'spread_ratio_mad_over_median': 0.0, 'title_uniformity': 0.5972943722943723, 'variant_empty_rate_initial': 0.1111111111111111, 'autotuned_core_frac': 0.78, 'autotuned_variant_threshold': 0.36, 'autotuned_price_weight': 0.25}"
641,True,5,3,0.5148505568504333,"{'n': 5, 'price_median': 106.6500015258789, 'price_mad': 0.9500045776367188, 'spread_ratio_mad_over_median': 0.00890768461363967, 'title_uniformity': 0.611111111111111, 'variant_empty_rate_initial': 0.2, 'autotuned_core_frac': 0.7, 'autotuned_variant_threshold': 0.36, 'autotuned_price_weight': 0.25}"
