ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,Autotuned,VariantThreshold,CoreFrac,PriceWeight
501,553,0,9,,158.19,121.45,226.45,True,0.3,0.6,0.55
48,50,0,7,driving force volant levier de vitesse shifter compatible,210.7,210.7,252.7,True,0.36,0.78,0.25
501,554,1,6,,87.325,74.2,105.7,True,0.3,0.6,0.55
49,55,2,6,volante pedales volant boite de vitesse support con,247.445,189.7,336.7,True,0.31,0.78,0.45
88,102,0,4,ps4 fc juego,47.95,42.7,58.45,True,0.33,0.7,0.35
193,217,0,4,remake deluxe ps4 vii,100.45,79.45,105.7,True,0.36,0.78,0.25
375,422,0,3,,42.7,42.7,42.7,False,,,
121,143,2,3,nintendo switch le,45.85,45.85,61.6,True,0.35,0.78,0.35
348,390,0,3,,47.94,42.7,73.15,False,,,
87,101,0,3,,47.95,47.95,53.2,False,,,
281,321,0,3,,47.95,42.7,105.7,False,,,
94,112,0,3,,53.19,42.7,53.2,False,,,
132,154,0,3,,53.2,47.95,105.7,False,,,
232,263,0,3,,53.2,53.2,209.65,False,,,
255,288,0,3,,53.2,53.2,58.45,False,,,
268,306,0,3,,53.2,44.8,74.2,False,,,
290,332,0,3,,53.2,47.95,63.7,False,,,
333,375,0,3,,53.2,42.7,53.2,False,,,
475,525,0,3,,53.2,42.7,58.45,False,,,
73,87,0,3,,79.69,53.2,126.7,False,,,
202,229,0,3,,84.7,74.2,116.2,True,0.29,0.6,0.65
150,172,0,3,,105.7,64.75,105.7,False,,,
635,693,0,3,,105.7,79.45,404.95,False,,,
641,699,0,3,completa,106.65,105.7,106.65,True,0.36,0.7,0.25
139,161,0,3,,116.2,42.7,116.2,False,,,
460,510,0,3,,126.7,126.7,126.7,False,,,
499,550,0,3,,126.7,95.2,137.2,True,0.29,0.6,0.65
542,600,0,3,,137.2,131.95,158.2,False,,,
527,585,0,3,,158.2,158.2,168.7,False,,,
518,571,0,3,,200.2,173.95,210.7,True,0.32,0.6,0.44999999999999996
5,5,0,2,,1.0098,1.0098,1.0098,False,,,
15,15,0,2,,42.7,42.7,42.7,False,,,
27,27,0,2,per pc pedali,42.7,42.7,42.7,True,0.29,0.7,0.65
91,109,0,2,,42.7,42.7,42.7,False,,,
168,192,0,2,,42.7,42.7,42.7,False,,,
178,202,0,2,,42.7,42.7,42.7,False,,,
185,209,0,2,,42.7,42.7,42.7,False,,,
220,248,0,2,,42.7,42.7,42.7,False,,,
373,420,0,2,,42.7,42.7,42.7,False,,,
387,434,0,2,,42.7,42.7,42.7,False,,,
483,533,0,2,,42.7,42.7,42.7,False,,,
485,536,0,2,,42.7,42.7,42.7,False,,,
263,296,0,2,,44.8,44.8,44.8,True,0.35,0.65,0.35
283,323,0,2,,45.275000000000006,42.7,47.85,False,,,
86,100,0,2,,45.325,42.7,47.95,False,,,
61,75,0,2,,47.95,47.95,47.95,False,,,
88,103,1,2,fc neuf playstation ea sports nuevo precintado,47.95,47.95,47.95,True,0.33,0.7,0.35
104,124,0,2,,47.95,47.95,47.95,False,,,
121,141,0,2,ps4 sony neuf,47.95,47.95,47.95,True,0.35,0.78,0.35
138,160,0,2,,47.95,47.95,47.95,False,,,
179,203,0,2,,47.95,47.95,47.95,False,,,
196,223,0,2,,47.95,42.7,53.2,False,,,
252,285,0,2,,47.95,42.7,53.2,False,,,
267,302,0,2,,47.95,47.95,47.95,True,0.35,0.7,0.35
272,311,1,2,,47.95,47.95,47.95,True,0.3,0.7,0.55
