ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,VariantThreshold,CoreFrac,PriceWeight
501,555,0,15,,131.95,74.2,226.45,0.33,0.7,0.5
49,56,1,6,volante pedales volant boite de vitesse support con,247.445,189.7,336.7,0.33,0.7,0.5
193,220,0,4,remake deluxe vii,100.45,79.45,105.7,0.33,0.7,0.5
48,51,1,4,volant levier de vitesse shifter compatible et,210.7,210.7,210.7,0.33,0.7,0.5
375,425,0,3,,42.7,42.7,42.7,0.33,0.7,0.5
121,146,2,3,nintendo switch le,45.85,45.85,61.6,0.33,0.7,0.5
348,393,0,3,,47.94,42.7,73.15,0.33,0.7,0.5
87,102,0,3,,47.95,47.95,53.2,0.33,0.7,0.5
281,324,0,3,,47.95,42.7,105.7,0.33,0.7,0.5
94,114,0,3,,53.19,42.7,53.2,0.33,0.7,0.5
132,157,0,3,,53.2,47.95,105.7,0.33,0.7,0.5
232,266,0,3,,53.2,53.2,209.65,0.33,0.7,0.5
255,291,0,3,,53.2,53.2,58.45,0.33,0.7,0.5
268,309,0,3,,53.2,44.8,74.2,0.33,0.7,0.5
290,335,0,3,,53.2,47.95,63.7,0.33,0.7,0.5
333,378,0,3,,53.2,42.7,53.2,0.33,0.7,0.5
475,527,0,3,,53.2,42.7,58.45,0.33,0.7,0.5
73,88,0,3,,79.69,53.2,126.7,0.33,0.7,0.5
202,232,0,3,,84.7,74.2,116.2,0.33,0.7,0.5
150,175,0,3,,105.7,64.75,105.7,0.33,0.7,0.5
635,694,0,3,,105.7,79.45,404.95,0.33,0.7,0.5
641,700,0,3,completa,106.65,105.7,106.65,0.33,0.7,0.5
139,164,0,3,,116.2,42.7,116.2,0.33,0.7,0.5
460,512,0,3,,126.7,126.7,126.7,0.33,0.7,0.5
499,552,0,3,,126.7,95.2,137.2,0.33,0.7,0.5
542,601,0,3,,137.2,131.95,158.2,0.33,0.7,0.5
527,586,0,3,,158.2,158.2,168.7,0.33,0.7,0.5
518,572,0,3,,200.2,173.95,210.7,0.33,0.7,0.5
